Probeset_ID,Gene Symbol,MF SLN,Sample_,Sample_
10338001,---,98.26,98.02,98.45
10338003,---,98.97,99.01,98.89
10338004,---,99.25,98.95,99.42
10338017,---,96.13,91.91,98.98
10338025,---,99.51,99.23,99.58
10338026,---,90.43,82.55,96.56
10338029,---,99.20,98.89,99.52
10338035,---,99.38,99.25,99.44
10338036,---,99.08,98.61,99.32
10338037,---,99.78,99.74,99.81
10338041,---,98.78,98.01,99.19
10338042,---,98.82,98.54,98.95
10338044,---,97.09,95.93,98.44
10338047,---,99.45,99.37,99.66
10338056,---,-0.44,-0.40,-0.62
10338059,---,96.22,95.06,96.98
10338060,---,99.21,98.75,99.43
10338064,---,90.42,93.43,85.85
10338065,---,90.42,93.43,85.85
10338066,---,90.42,93.43,85.85
10338067,---,90.42,93.43,85.85
10338068,---,8.59,-63.45,73.06
10338069,---,-28.12,7.47,-59.67
10338070,---,17.44,42.26,-6.72
10338071,---,72.59,32.10,88.71
10338072,---,80.67,13.74,95.38
10338073,---,-16.66,-88.60,76.02
10338074,---,-90.97,-98.93,-15.57
10338075,---,-99.01,-56.30,-100.02
10338076,---,-0.14,12.08,-5.41
10338077,---,77.26,58.42,90.59
10338078,---,-67.03,-95.59,-18.31
10338079,---,43.97,-95.54,98.96
10338080,---,-3.79,21.12,-22.25
10338081,---,61.79,94.61,-19.54
10338082,---,-97.35,-93.09,-99.24
10338083,---,-33.07,-19.73,-47.05
10338084,---,41.29,54.88,25.03
10338085,---,17.73,2.73,42.91
10338086,---,-95.55,-96.37,-94.72
10338087,---,-82.50,-69.28,-90.34
10338088,---,28.35,76.93,-32.50
10338089,---,13.52,0.89,24.12
10338090,---,47.53,61.73,31.19
10338091,---,97.57,98.70,93.77
10338092,---,-22.35,-64.69,29.79
10338093,---,-65.86,72.26,-99.71
10338094,---,-82.32,-68.14,-90.16
10338095,---,-99.67,-94.57,-100.00
10338096,---,70.56,69.41,72.05
10338097,---,-6.40,-4.40,-8.20
10338098,---,47.93,63.73,28.92
10338099,---,-88.18,-98.00,-63.56
10338100,---,79.30,-14.81,96.11
10338101,---,-75.12,-68.01,-80.95
10338102,---,9.92,72.33,-53.35
10338103,---,2.94,20.88,-12.12
10338104,---,-87.26,-91.88,-79.96
10338105,---,7.01,13.13,1.36
10338106,---,-14.78,-44.29,15.07
10338107,---,-70.36,16.70,-97.91
10338108,---,95.85,30.74,99.70
10338109,---,-58.70,-57.73,-60.11
10338110,---,-45.63,-33.91,-57.53
10338111,---,22.23,30.72,13.86
10338112,---,24.74,37.49,9.21
10338113,---,9.14,-3.89,23.35
10338114,---,54.34,69.08,33.12
10338115,---,4.42,32.57,-16.76
10338116,---,-82.89,-97.31,-56.92
10338117,---,-73.91,-67.28,-79.75
10338118,---,-16.59,-30.84,-4.84
10338119,---,-63.40,-6.15,-92.66
10338120,---,-62.72,-58.09,-66.69
10338121,---,27.86,-43.66,84.23
10338122,---,-21.41,-29.18,-13.47
10338123,---,31.02,7.00,57.14
10338124,---,21.62,41.89,-1.04
10338125,---,-89.52,-99.39,-47.09
10338126,---,92.18,77.22,96.81
10338127,---,98.71,98.64,98.75
10338128,---,-92.85,-82.45,-96.75
10338129,---,51.78,33.14,66.96
10338130,---,94.55,69.91,98.96
10338131,---,89.21,70.16,96.51
10338132,---,-2.92,-29.13,38.85
10338133,---,-7.33,-45.54,33.37
10338134,---,59.35,66.39,50.85
10338135,---,67.57,50.78,78.65
10338136,---,-39.43,8.63,-74.56
10338137,---,-98.50,-95.41,-99.73
10338138,---,55.58,60.59,50.34
10338139,---,47.61,59.41,32.56
10338140,---,55.77,30.98,73.16
10338141,---,-40.60,-84.31,-10.61
10338142,---,30.15,60.86,-6.77
10338143,---,63.88,-34.11,89.73
10338144,---,-81.91,-79.44,-84.10
10338145,---,14.97,37.28,-10.20
10338146,---,-97.60,-64.40,-99.96
10338147,---,-58.20,-65.46,-49.19
10338148,---,-85.38,-84.30,-86.49
10338149,---,89.32,90.78,88.15
10338150,---,49.53,42.08,56.48
10338151,---,58.97,45.41,69.81
10338152,---,-84.64,-89.46,-77.54
10338153,---,-37.33,-90.01,41.58
10338154,---,-56.37,-66.24,-44.68
10338155,---,-48.58,-77.66,4.80
10338156,---,-84.44,29.14,-99.67
10338157,---,-67.92,-30.20,-91.47
10338158,---,87.36,62.69,95.83
10338159,---,68.38,78.38,55.79
10338160,---,74.47,71.96,77.37
10338161,---,19.63,-3.72,40.84
10338162,---,-100.00,-100.02,-100.00
10338163,---,-78.19,-82.81,-71.80
10338164,---,-56.35,-47.70,-64.55
10338165,---,69.80,66.47,73.50
10338166,---,-88.59,-69.61,-92.74
10338167,---,19.71,84.35,-82.47
10338168,---,45.54,13.76,75.34
10338169,---,-81.38,-57.15,-94.50
10338170,---,-29.40,-79.96,28.05
10338171,---,-10.87,-12.14,-9.65
10338172,---,53.02,73.24,21.53
10338173,---,63.03,78.75,29.77
10338174,---,16.65,-24.82,55.14
10338175,---,60.30,93.79,-64.38
10338176,---,6.83,26.97,-17.78
10338177,---,-46.21,-78.66,3.25
10338178,---,57.17,75.77,26.12
10338179,---,-48.31,-64.73,-34.30
10338180,---,-59.32,-77.95,-27.62
10338181,---,-17.47,-43.98,8.63
10338182,---,-97.89,-97.31,-98.18
10338183,---,-64.97,-76.73,-53.86
10338184,---,5.03,-26.32,35.77
10338185,---,-6.81,14.44,-27.31
10338186,---,-40.39,-42.92,-38.31
10338187,---,25.43,76.57,-42.37
10338188,---,-24.71,-50.31,3.19
10338189,---,40.60,87.79,-54.81
10338190,---,-18.84,-92.63,71.64
10338191,---,31.94,95.72,-90.16
10338192,---,-88.39,-81.88,-93.27
10338193,---,-8.19,-6.45,-10.16
10338194,---,-14.32,21.75,-50.66
10338195,---,-55.74,-72.46,-30.71
10338196,---,-18.93,-23.42,-14.37
10338197,---,72.23,88.92,31.72
10338198,---,-89.63,-83.48,-94.80
10338199,---,-74.31,-72.09,-76.65
10338200,---,-81.10,-76.33,-85.19
10338201,---,19.34,16.34,23.00
10338202,---,75.63,95.67,16.64
10338203,---,-27.81,5.02,-59.29
10338204,---,19.68,67.80,-32.98
10338205,---,-89.99,-89.99,-89.96
10338206,---,87.98,95.79,59.66
10338207,---,37.29,-82.50,88.74
10338208,---,0.68,0.14,1.32
10338209,---,69.09,59.84,77.96
10338210,---,96.71,98.05,92.86
10338211,---,43.72,42.76,44.39
10338212,---,78.75,77.31,79.84
10338213,---,-84.90,-86.04,-83.74
10338214,---,52.47,82.14,4.78
10338215,---,62.70,93.09,-27.23
10338216,---,-79.59,24.38,-99.62
10338217,---,-0.26,-26.81,23.19
10338218,---,-28.92,24.97,-71.54
10338219,---,-90.38,-51.23,-98.77
10338220,---,-37.62,-40.76,-34.95
10338221,---,52.39,57.74,46.74
10338222,---,57.82,-64.72,97.30
10338223,---,82.04,79.21,84.80
10338224,---,-50.01,-66.70,-30.04
10338225,---,13.92,-39.00,62.78
10338226,---,77.44,85.52,65.01
10338227,---,60.73,93.47,-19.40
10338228,---,-94.45,-76.93,-98.40
10338229,---,-28.78,-61.53,-10.48
10338230,---,59.81,-17.70,94.09
10338231,---,-41.37,-15.46,-59.37
10338232,---,-54.18,-70.77,-36.92
10338233,---,-25.77,72.35,-94.98
10338234,---,-23.68,3.30,-49.89
10338235,---,-47.11,-55.44,-39.31
10338236,---,-26.49,-50.30,-5.24
10338237,---,90.50,80.87,95.86
10338238,---,-49.50,-14.35,-80.51
10338239,---,-55.38,13.21,-90.40
10338240,---,93.50,0.90,99.91
10338241,---,-56.61,-61.43,-52.03
