Probeset_ID,Gene Symbol,Mo BM Ly6C- II-,Sample_,Sample_,Sample_
10338001,---,90.18,88.79,92.20,89.18
10338003,---,80.31,78.12,85.25,75.71
10338004,---,76.00,68.78,85.11,68.16
10338017,---,67.91,39.65,85.10,77.78
10338025,---,71.21,62.02,84.43,60.81
10338026,---,65.63,40.94,87.02,67.74
10338029,---,66.51,56.04,76.95,62.44
10338035,---,81.07,78.60,85.56,76.97
10338036,---,72.10,50.14,85.59,71.40
10338037,---,86.90,86.56,88.65,85.41
10338041,---,80.40,61.48,87.52,83.90
10338042,---,74.23,62.00,84.25,70.91
10338044,---,86.62,79.68,91.25,86.30
10338047,---,87.29,83.91,92.02,86.06
10338056,---,-17.49,-17.95,-14.58,-20.32
10338059,---,80.92,71.95,86.39,81.79
10338060,---,91.50,87.07,95.46,91.33
10338064,---,5.85,83.62,-9.00,-71.30
10338065,---,5.85,83.62,-9.00,-71.30
10338066,---,5.85,83.62,-9.00,-71.30
10338067,---,5.85,83.62,-9.00,-71.30
10338068,---,74.30,72.45,61.50,84.34
10338069,---,-6.79,-68.77,49.36,7.82
10338070,---,-33.40,-57.35,5.33,-56.34
10338071,---,-52.31,-35.58,-89.56,-21.26
10338072,---,-18.36,-65.45,46.19,-30.39
10338073,---,-22.86,64.01,-71.99,-47.96
10338074,---,-97.05,-94.96,-96.41,-98.40
10338075,---,-46.07,-82.99,-22.40,-21.84
10338076,---,-16.90,-8.28,-35.22,-10.49
10338077,---,95.92,88.28,97.68,97.76
10338078,---,-63.89,-52.34,-66.95,-71.22
10338079,---,-3.42,-79.53,47.50,41.62
10338080,---,-57.92,-96.63,-22.39,-36.78
10338081,---,64.02,88.58,15.12,68.16
10338082,---,54.44,44.20,62.55,54.81
10338083,---,11.76,-17.70,-2.10,58.90
10338084,---,21.63,48.84,18.95,-6.04
10338085,---,54.21,51.87,64.20,47.12
10338086,---,-89.44,-91.52,-93.71,-78.13
10338087,---,-83.46,-88.64,-68.12,-87.48
10338088,---,24.20,-27.26,84.15,-14.47
10338089,---,59.81,64.99,43.30,67.71
10338090,---,-39.30,-62.52,-5.31,-48.98
10338091,---,-16.41,-75.53,-34.23,71.57
10338092,---,38.99,85.47,-19.34,5.06
10338093,---,-5.28,-6.37,35.54,-31.26
10338094,---,-92.07,-84.60,-92.07,-96.20
10338095,---,-88.50,-86.36,-92.23,-86.11
10338096,---,-17.41,56.47,-82.76,-8.89
10338097,---,-60.41,9.72,-85.53,-89.92
10338098,---,56.39,67.56,25.71,68.97
10338099,---,-79.38,-51.96,-88.21,-88.54
10338100,---,-11.63,-39.18,38.60,-26.37
10338101,---,-73.57,-55.18,-66.22,-88.92
10338102,---,-16.66,-26.14,-1.85,-26.44
10338103,---,20.05,-19.45,50.89,25.63
10338104,---,-95.74,-95.14,-95.64,-96.38
10338105,---,-33.43,-34.77,-56.21,-7.51
10338106,---,53.89,46.75,37.29,71.66
10338107,---,22.52,-12.03,56.67,17.71
10338108,---,82.06,66.01,78.47,92.85
10338109,---,-69.03,-87.47,-47.84,-70.43
10338110,---,-78.46,-25.73,-98.61,-77.45
10338111,---,13.02,8.62,10.55,20.42
10338112,---,91.44,91.17,89.75,92.64
10338113,---,-85.88,-82.64,-40.38,-99.52
10338114,---,69.39,64.58,74.07,68.04
10338115,---,-60.05,-73.76,-24.06,-78.85
10338116,---,57.56,70.63,54.38,45.04
10338117,---,58.99,56.09,62.48,58.96
10338118,---,41.88,34.32,66.67,15.37
10338119,---,87.40,85.42,94.81,71.83
10338120,---,44.70,48.06,41.42,44.35
10338121,---,-77.52,-61.49,-96.12,-63.66
10338122,---,-47.76,-71.77,26.24,-77.79
10338123,---,42.39,18.68,61.85,45.39
10338124,---,-14.88,-6.40,-7.13,-33.87
10338125,---,-23.88,-22.64,-6.46,-42.74
10338126,---,9.27,31.66,37.74,-16.39
10338127,---,70.27,79.12,75.62,49.28
10338128,---,65.02,71.35,61.45,62.49
10338129,---,-25.85,-7.48,-45.95,-21.70
10338130,---,-23.38,-83.07,36.92,-21.86
10338131,---,-9.56,90.97,-52.47,-91.47
10338132,---,4.60,-18.79,16.74,36.34
10338133,---,-46.92,-27.91,-65.79,-41.66
10338134,---,29.76,54.43,27.92,3.97
10338135,---,0.15,-8.63,7.37,12.73
10338136,---,89.92,92.25,89.26,88.03
10338137,---,-8.00,90.07,-59.58,-76.01
10338138,---,86.70,77.98,82.21,95.03
10338139,---,59.60,59.47,28.90,80.84
10338140,---,-86.78,-97.51,-78.83,-61.89
10338141,---,-29.86,-43.49,-24.87,-22.86
10338142,---,90.76,84.38,92.55,92.71
10338143,---,-33.34,-3.60,-78.90,-64.67
10338144,---,65.41,47.86,52.43,85.57
