Probeset_ID,Gene Symbol,Mo Bl Ly6C+ II-,Sample_,Sample_,Sample_
10338001,---,85.52,86.13,91.85,73.71
10338003,---,32.34,44.30,63.93,-0.91
10338004,---,46.86,53.40,77.61,6.32
10338017,---,86.38,79.06,93.13,84.53
10338025,---,38.64,46.06,65.56,3.38
10338026,---,83.88,79.70,93.17,77.36
10338029,---,38.82,49.93,64.81,6.32
10338035,---,35.32,45.59,64.04,-1.23
10338036,---,47.83,50.10,71.21,19.23
10338037,---,40.60,52.29,49.57,14.22
10338041,---,84.27,85.04,91.19,70.03
10338042,---,41.41,50.31,69.00,6.11
10338044,---,86.30,88.48,91.90,72.31
10338047,---,71.66,78.72,79.31,52.45
10338056,---,-54.75,-43.17,-49.10,-74.29
10338059,---,75.39,72.22,84.87,66.36
10338060,---,32.43,43.59,41.67,7.03
10338064,---,-54.33,-32.05,-62.42,-73.58
10338065,---,-54.33,-32.05,-62.42,-73.58
10338066,---,-54.33,-32.05,-62.42,-73.58
10338067,---,-54.33,-32.05,-62.42,-73.58
10338068,---,94.44,95.23,92.37,95.34
10338069,---,97.09,82.02,98.95,98.98
10338070,---,38.00,-10.74,84.15,-7.56
10338071,---,93.83,90.19,88.48,97.56
10338072,---,-76.69,-30.82,-98.36,-55.55
10338073,---,-47.80,-82.09,-30.62,-14.87
10338074,---,-41.80,-39.31,-47.42,-37.93
10338075,---,-25.27,-11.50,-64.02,0.87
10338076,---,-6.06,6.28,-15.62,-13.38
10338077,---,74.09,74.49,74.60,72.79
10338078,---,24.85,49.66,0.00,18.36
10338079,---,89.02,97.11,96.71,19.89
10338080,---,54.03,50.98,61.49,49.41
10338081,---,70.64,28.96,86.41,80.49
10338082,---,34.00,61.73,22.63,15.15
10338083,---,-6.84,-16.90,-59.30,61.40
10338084,---,18.88,23.78,45.01,-11.89
10338085,---,92.60,85.76,91.73,97.22
10338086,---,11.62,-16.16,25.46,26.02
10338087,---,5.06,-11.19,-9.07,30.49
10338088,---,-27.55,-10.15,-34.01,-40.98
10338089,---,0.77,45.81,21.29,-46.67
10338090,---,92.92,89.04,89.07,97.45
10338091,---,-3.75,5.11,49.55,-53.08
10338092,---,-33.98,10.64,-58.15,-46.55
10338093,---,-64.16,-88.22,-22.38,-66.67
10338094,---,-53.37,-54.56,-34.80,-66.66
10338095,---,-69.83,-69.58,-89.44,-38.19
10338096,---,46.27,50.91,21.51,61.04
10338097,---,-31.39,-23.37,-78.48,15.68
10338098,---,35.20,5.78,55.36,37.22
