"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04610","mmu04610","Complement and coagulation cascades","7/50","93/8942",7.27124142349192e-07,4.58331736008593e-05,3.6737357883837e-05,"C1qb/C1qc/C1qa/C3ar1/C5ar1/F13a1/C4b",7
"mmu04061","mmu04061","Viral protein interaction with cytokine and cytokine receptor","7/50","95/8942",8.40975662401088e-07,4.58331736008593e-05,3.6737357883837e-05,"Cxcl2/Ccl12/Pf4/Csf1r/Ccl24/Ccl7/Ccl8",7
"mmu05171","mmu05171","Coronavirus disease - COVID-19","9/50","247/8942",7.53693589537922e-06,0.000273842004198778,0.000219496729584728,"Tlr7/Ccl12/C1qb/C1qc/C1qa/C3ar1/C5ar1/F13a1/C4b",9
"mmu04936","mmu04936","Alcoholic liver disease","7/50","141/8942",1.18373104470452e-05,0.000322566709681982,0.00025855178081704,"Cxcl2/C1qb/C1qc/C1qa/C3ar1/C5ar1/C4b",7
"mmu05150","mmu05150","Staphylococcus aureus infection","6/50","124/8942",6.07641666394004e-05,0.00118096659516169,0.000946598043442013,"C1qb/C1qc/C1qa/C3ar1/C5ar1/C4b",6
"mmu05133","mmu05133","Pertussis","5/50","77/8942",6.50073355134877e-05,0.00118096659516169,0.000946598043442013,"Irf8/C1qb/C1qc/C1qa/C4b",5
"mmu04142","mmu04142","Lysosome","6/50","135/8942",9.75692178128312e-05,0.00151929210594266,0.00121778121480677,"Ctsl/Ctsd/Lgmn/Slc11a1/Cd63/Ctsb",6
"mmu04062","mmu04062","Chemokine signaling pathway","6/50","192/8942",0.000656239030004951,0.00894125678381746,0.00716682098558039,"Cxcl2/Ccl12/Pf4/Ccl24/Ccl7/Ccl8",6
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction","7/50","292/8942",0.00110276511594736,0.0133557108486958,0.0107052052191381,"Cxcl2/Ccl12/Pf4/Csf1r/Ccl24/Ccl7/Ccl8",7
"mmu04657","mmu04657","IL-17 signaling pathway","4/50","91/8942",0.00161692988486969,0.0176245357450796,0.0141268610993878,"Cxcl2/Ccl12/Mmp9/Ccl7",4
"mmu04979","mmu04979","Cholesterol metabolism","3/50","49/8942",0.002529398560239,0.0231321133469023,0.0185414331993519,"Cd36/Apoe/Abca1",3
"mmu05142","mmu05142","Chagas disease","4/50","103/8942",0.00254665468039291,0.0231321133469023,0.0185414331993519,"Ccl12/C1qb/C1qc/C1qa",4
"mmu05417","mmu05417","Lipid and atherosclerosis","5/50","216/8942",0.00687901647690234,0.0576779073832581,0.0462314467678457,"Cd36/Cxcl2/Ccl12/Abca1/Mmp9",5
"mmu05322","mmu05322","Systemic lupus erythematosus","4/50","148/8942",0.00920001952814401,0.0668534752378465,0.0535860786551546,"C1qb/C1qc/C1qa/C4b",4
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","4/50","148/8942",0.00920001952814401,0.0668534752378465,0.0535860786551546,"Ctsl/Ccl12/Mmp9/Hmox1",4
