"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05152","mmu05152","Tuberculosis","7/27","180/8942",7.53120492361019e-07,5.44259421888651e-05,4.49836247330971e-05,"Fcgr4/H2-DMb2/Il1b/Cd209a/H2-Oa/Malt1/H2-DMb1",7
"mmu04625","mmu04625","C-type lectin receptor signaling pathway","6/27","112/8942",8.06310254649853e-07,5.44259421888651e-05,4.49836247330971e-05,"Itpr1/Ccl17/Il1b/Cd209a/Malt1/Clec4b1",6
"mmu05140","mmu05140","Leishmaniasis","5/27","70/8942",1.79632917645574e-06,8.08348129405084e-05,6.68108395453715e-05,"Fcgr4/H2-DMb2/Il1b/H2-Oa/H2-DMb1",5
"mmu04672","mmu04672","Intestinal immune network for IgA production","4/27","43/8942",7.50729200086421e-06,0.000209360614045085,0.000173038792115236,"Itgb7/H2-DMb2/H2-Oa/H2-DMb1",4
"mmu04640","mmu04640","Hematopoietic cell lineage","5/27","94/8942",7.75409681648464e-06,0.000209360614045085,0.000173038792115236,"Cd24a/H2-DMb2/Il1b/H2-Oa/H2-DMb1",5
"mmu05321","mmu05321","Inflammatory bowel disease","4/27","62/8942",3.26315223435231e-05,0.000670604318816456,0.00055426165921672,"H2-DMb2/Il1b/H2-Oa/H2-DMb1",4
"mmu05332","mmu05332","Graft-versus-host disease","4/27","63/8942",3.47720757904829e-05,0.000670604318816456,0.00055426165921672,"H2-DMb2/Il1b/H2-Oa/H2-DMb1",4
"mmu04940","mmu04940","Type I diabetes mellitus","4/27","70/8942",5.27571424559735e-05,0.000810379499762098,0.000669787344832611,"H2-DMb2/Il1b/H2-Oa/H2-DMb1",4
"mmu05310","mmu05310","Asthma","3/27","25/8942",5.40252999841399e-05,0.000810379499762098,0.000669787344832611,"H2-DMb2/H2-Oa/H2-DMb1",3
"mmu05323","mmu05323","Rheumatoid arthritis","4/27","87/8942",0.000123664841876329,0.00166947536533044,0.0013798392883043,"H2-DMb2/Il1b/H2-Oa/H2-DMb1",4
"mmu04514","mmu04514","Cell adhesion molecules","5/27","174/8942",0.000150228653542744,0.00184371529347913,0.0015238504569886,"Itgb7/H2-DMb2/H2-Oa/Cd226/H2-DMb1",5
"mmu04145","mmu04145","Phagosome","5/27","182/8942",0.000185482531355012,0.00208667847774389,0.00172466213365187,"Fcgr4/H2-DMb2/Cd209a/H2-Oa/H2-DMb1",5
"mmu04659","mmu04659","Th17 cell differentiation","4/27","105/8942",0.00025590243282808,0.00265744834090698,0.00219640954492117,"H2-DMb2/Il1b/H2-Oa/H2-DMb1",4
"mmu05150","mmu05150","Staphylococcus aureus infection","4/27","124/8942",0.000482919612198725,0.00465672483191627,0.00384883299947856,"Fcgr4/H2-DMb2/H2-Oa/H2-DMb1",4
"mmu05330","mmu05330","Allograft rejection","3/27","63/8942",0.000864129508815084,0.00777716557933576,0.00642791073223852,"H2-DMb2/H2-Oa/H2-DMb1",3
"mmu05322","mmu05322","Systemic lupus erythematosus","4/27","148/8942",0.000940188133792177,0.00793283737887149,0.00655657514355071,"Fcgr4/H2-DMb2/H2-Oa/H2-DMb1",4
"mmu05320","mmu05320","Autoimmune thyroid disease","3/27","79/8942",0.00166635986659766,0.0125780568911727,0.010395898873016,"H2-DMb2/H2-Oa/H2-DMb1",3
"mmu05164","mmu05164","Influenza A","4/27","173/8942",0.00167707425215636,0.0125780568911727,0.010395898873016,"H2-DMb2/Il1b/H2-Oa/H2-DMb1",4
"mmu04658","mmu04658","Th1 and Th2 cell differentiation","3/27","88/8942",0.00227095873367799,0.0153289714523265,0.0126695592510457,"H2-DMb2/H2-Oa/H2-DMb1",3
"mmu05416","mmu05416","Viral myocarditis","3/27","88/8942",0.00227095873367799,0.0153289714523265,0.0126695592510457,"H2-DMb2/H2-Oa/H2-DMb1",3
"mmu04612","mmu04612","Antigen processing and presentation","3/27","90/8942",0.00242147885855918,0.0155666498050233,0.012866002957758,"H2-DMb2/H2-Oa/H2-DMb1",3
"mmu05145","mmu05145","Toxoplasmosis","3/27","110/8942",0.00427351551910201,0.0262238452308533,0.021674289235637,"H2-DMb2/H2-Oa/H2-DMb1",3
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction","4/27","292/8942",0.0108046976234913,0.0634188773552751,0.0524163820636192,"Ccl17/Il1b/Tnfsf9/Il1rl1",4
"mmu05144","mmu05144","Malaria","2/27","57/8942",0.0126520502887566,0.0711677828742558,0.0588209355529911,"Il1b/Klrb1b",2
"mmu04657","mmu04657","IL-17 signaling pathway","2/27","91/8942",0.0304884349103412,0.163726289759893,0.135321533836637,"Ccl17/Il1b",2
"mmu05169","mmu05169","Epstein-Barr virus infection","3/27","231/8942",0.0315324706204239,0.163726289759893,0.135321533836637,"H2-DMb2/H2-Oa/H2-DMb1",3
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection","3/27","250/8942",0.038527410623388,0.191018228745829,0.157878614012147,"H2-DMb2/H2-Oa/H2-DMb1",3
"mmu04064","mmu04064","NF-kappa B signaling pathway","2/27","105/8942",0.0396185955917274,0.191018228745829,0.157878614012147,"Il1b/Malt1",2
"mmu05168","mmu05168","Herpes simplex virus 1 infection","4/27","459/8942",0.0471471829103997,0.21947826527255,0.18140113932858,"H2-DMb2/Il1b/H2-Oa/H2-DMb1",4
"mmu04750","mmu04750","Inflammatory mediator regulation of TRP channels","2/27","127/8942",0.0557627250870731,0.246241533152641,0.203521267167095,"Itpr1/Il1b",2
"mmu04380","mmu04380","Osteoclast differentiation","2/27","128/8942",0.0565443520572732,0.246241533152641,0.203521267167095,"Fcgr4/Il1b",2
"mmu00770","mmu00770","Pantothenate and CoA biosynthesis","1/27","21/8942",0.0615970061490326,0.259862369691231,0.214779034598601,"Upb1",1
"mmu04270","mmu04270","Vascular smooth muscle contraction","2/27","144/8942",0.0695642419768294,0.282930490097998,0.233845083433823,"Ramp1/Itpr1",2
"mmu05162","mmu05162","Measles","2/27","146/8942",0.0712565678765328,0.282930490097998,0.233845083433823,"Il1b/Cd209a",2
