"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04210","mmu04210","Apoptosis","15/141","136/8943",2.96980574527511e-09,6.77115709922726e-07,4.68916696622386e-07,"Ctsc/Tuba1b/Ctsk/Lmna/Actg1/Gadd45b/Traf1/Ctss/Mcl1/Jun/Bcl2a1d/Bcl2a1a/Fos/Bcl2a1b/Nfkbia",15
"mmu04145","mmu04145","Phagosome","15/141","182/8943",1.56053380382681e-07,1.77900853636257e-05,1.23200037144222e-05,"Tubb5/Tuba1b/Actg1/Rab7b/Ctss/Cd209g/Cd14/H2-DMa/Itgb5/Mrc1/H2-Eb1/H2-Ab1/Colec12/H2-Aa/Cd209d",15
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection","17/141","250/8943",3.61697634875504e-07,2.26543760286256e-05,1.5688626058605e-05,"Il1r2/Ccnd1/Cdkn1a/Creb5/Ccnd2/Jun/Tgfbr1/H2-DMa/Fos/Zfp36/Nfkbia/H2-Eb1/H2-Ab1/Egr1/Ets2/H2-Aa/Itgal",17
"mmu05202","mmu05202","Transcriptional misregulation in cancer","16/141","223/8943",3.9744519348466e-07,2.26543760286256e-05,1.5688626058605e-05,"Il1r2/Gadd45b/Traf1/Cdkn1a/Ccnd2/Spint1/Cd14/Bcl2a1d/Bcl2a1a/Nfkbiz/Bcl2a1b/Rel/Hpgd/Igf1/Runx2/Ddx5",16
"mmu04640","mmu04640","Hematopoietic cell lineage","10/141","94/8943",2.01691695301884e-06,9.1971413057659e-05,6.3692114305858e-05,"Il1r2/Itga4/Cd2/Cd44/Cd9/Cd14/H2-DMa/H2-Eb1/H2-Ab1/H2-Aa",10
"mmu04380","mmu04380","Osteoclast differentiation","11/141","128/8943",5.10174438319399e-06,0.000193866286561372,0.000134256431136684,"Fosl2/Ctsk/Jun/Tgfbr1/Fos/Fosb/Nfkbia/Junb/Lilra5/Jund/Socs3",11
"mmu05323","mmu05323","Rheumatoid arthritis","9/141","87/8943",8.42409499167709e-06,0.00027438480830034,0.000190017180263393,"Ctsk/Jun/H2-DMa/Fos/H2-Eb1/H2-Ab1/H2-Aa/Itgal/Ltb",9
"mmu05140","mmu05140","Leishmaniasis","8/141","70/8943",1.29601315305107e-05,0.000369363748619556,0.000255792069681133,"Itga4/Jun/H2-DMa/Fos/Nfkbia/H2-Eb1/H2-Ab1/H2-Aa",8
"mmu05152","mmu05152","Tuberculosis","12/141","180/8943",2.55105541748566e-05,0.000646267372429701,0.000447553582015029,"Lsp1/Itgax/Ctss/Cd209g/Cd14/H2-DMa/Cd74/Mrc1/H2-Eb1/H2-Ab1/H2-Aa/Cd209d",12
"mmu04064","mmu04064","NF-kappa B signaling pathway","9/141","105/8943",3.88269532048032e-05,0.000885254533069514,0.000613057155865314,"Gadd45b/Traf1/Tnfaip3/Cd14/Bcl2a1d/Bcl2a1a/Bcl2a1b/Nfkbia/Ltb",9
