,x
1,Mns1
2,Pimreg
3,Fgr
4,Rad51ap1
5,Il1r2
6,Zfyve9
7,Ceacam1
8,Ctsc
9,Mcm5
10,Itm2b
11,Nxpe4
12,Cytip
13,Pglyrp1
14,Tipin
15,Tk1
16,Samsn1
17,Itga4
18,Rad51
19,Mcm7
20,Srgn
21,Rnase6
22,Tubb5
23,Cd244a
24,Mcemp1
25,Gcnt2
26,Tuba1b
27,Cfp
28,Mcm3
29,Mcm6
30,Crip1
31,Hells
32,Dhfr
33,Lig1
34,Uhrf1
35,Flna
36,Vrk1
37,Mmp19
38,Unc119
39,Bri3bp
40,Ccl9
41,Lsp1
42,Hmgn1
43,Tmsb4x
44,Ung
45,Sub1
46,Qpct
47,Glul
48,Fosl2
49,Zyx
50,Plbd1
51,Cnn2
52,Gm2a
53,Grn
54,H2afy
55,Arrdc3
56,Serinc3
57,Ctsk
58,Lpl
59,Dok2
60,Nrp2
61,Lyz1
62,Plxnd1
63,Aldh1a2
64,Kcnn4
65,Lmna
66,Cd2
67,4930523C07Rik
68,Actg1
69,Metrnl
70,Dcstamp
71,Cd44
72,Npl
73,Gsn
74,Cd200r4
75,Psap
76,Atox1
77,Pilra
78,Syngr2
79,Ezr
80,Mmp12
81,Snx2
82,Tmem119
83,Slamf9
84,Itgax
85,Tanc2
86,Rab7b
87,Ptms
88,Ccnd1
89,Tiam1
90,AA467197
91,Fcrls
92,Naaa
93,Gadd45b
94,Epcam
95,Traf1
96,Klrd1
97,Cd81
98,Alcam
99,Fth1
100,Axl
101,Klf6
102,Cdkn1a
103,Ctss
104,Creb5
105,Ccnd2
106,Ccrl2
107,Mcl1
108,Slco2b1
109,Tnfaip3
110,Col14a1
111,Dusp5
112,Tgm2
113,Ccl6
114,Pmepa1
115,Olfml3
116,Cx3cr1
117,Ccnl1
118,Spint1
119,Jun
120,Pde4b
121,Cd9
122,Cd209g
123,Cd14
124,Atf3
125,Cd72
126,Tgfbr1
127,Ubc
128,Rgs10
129,Bcl2a1d
130,Bcl2a1a
131,Nr4a1
132,Nfkbiz
133,H2-DMa
134,Aif1
135,Fos
136,Basp1
137,Ear2
138,Ccl22
139,Scimp
140,Hexb
141,Itgb5
142,Dusp1
143,Pim1
144,F11r
145,Etv3
146,Fosb
147,Zfp36
148,Bcl2a1b
149,Cxcl16
150,Adam23
151,Gpr171
152,Lpcat2
153,Rel
154,Nfkbia
155,Abi3
156,Btg2
157,Junb
158,Zmynd15
159,Cd74
160,Gfra2
161,Cd300c2
162,Ier5
163,Lilra5
164,Skil
165,Pou2f2
166,Cd83
167,Pltp
168,St3gal5
169,Hpgd
170,Mrc1
171,Dennd4a
172,Cp
173,Csrnp1
174,H2-Eb1
175,Cst3
176,Chp2
177,Mgl2
178,Dab2
179,H2-Ab1
180,Igf1
181,Egr1
182,Zeb2
183,Gpr132
184,Colec12
185,Ets2
186,H2-Aa
187,Klf2
188,Kdm6b
189,Jund
190,Runx2
191,Tmem176a
192,Tmem176b
193,Socs3
194,Stk10
195,Slc12a2
196,Marcks
197,S1pr5
198,Trf
199,Gngt2
200,Ace
201,Ddx5
202,Ly6i
203,Treml4
204,Fabp4
205,Dusp16
206,Spn
207,Itgal
208,Cyfip2
209,Pecam1
210,Cd300e
211,Adgre4
212,Grk3
213,Zfp36l1
214,Ltb
215,Cbfa2t3
216,Krt80
217,Ly6a
218,Clec10a
219,Cfh
220,Cd163
221,Eps8
222,Fcgrt
223,Cd209d
224,Fgfr1
225,Mt2
226,Mt1
227,Kctd12
228,Wfdc17
