"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","108/916","324/23328",2.18385670586652e-70,1.01134404048679e-66,7.90326247870432e-67,"Top2a/Ube2c/Birc5/Mki67/Smc2/Nusap1/Cdca8/Prc1/Cenpf/Aurkb/Cenpe/Knl1/Cdc20/Ccnb1/Tacc3/Spc25/Bub1b/Kif22/Cenpw/Ndc80/Esco2/Mad2l1/Plk1/Ncapd2/Dlgap5/Ncaph/Bub1/Cit/Ska1/Fbxo5/Kif4/Nuf2/Ncapg/Cenph/Cdca5/Sgo2a/Ect2/Kif2c/Sgo1/Spag5/Cenpn/Cdca2/Nek2/Ttk/Kif18b/Ska3/Brca1/Cenpk/Spdl1/Incenp/Brip1/Ska2/Trip13/Knstrn/Ndc1/Kif23/Ccne2/Ccne1/Cenps/Brca2/Racgap1/Cenpq/Ncapd3/Hjurp/Smc4/Fen1/Ncapg2/Pmf1/Syce2/Ran/Tubg1/Cdk5rap2/Nup37/Rad21/Mis18a/Rcc1/Nup62/Cep192/Smc6/Banf1/Smc3/Anapc15/Cenpc1/Ncaph2/Nde1/Anapc5/Cdt1/Terf1/Ctcf/Bub3/Smc1a/Pds5b/Pds5a/Cenpx/Kpnb1/Smc5/Hnrnpu/Anapc11/Numa1/Stag1/Sfpq/Nsmce2/Rcc2/Chmp4b/Naa50/Tpr/Ndel1/Ciao2a",108
"GO:0098813","GO:0098813","nuclear chromosome segregation","86/916","262/23328",2.21499569257344e-55,5.12882252615379e-52,4.0079764163513e-52,"Top2a/Ube2c/Birc5/Smc2/Nusap1/Cdca8/Prc1/Cenpf/Aurkb/Cenpe/Knl1/Cdc20/Ccnb1/Tacc3/Bub1b/Kif22/Ndc80/Esco2/Mad2l1/Plk1/Ncapd2/Ncaph/Bub1/Cit/Fbxo5/Kif4/Nuf2/Ncapg/Cdca5/Sgo2a/Ect2/Kif2c/Sgo1/Spag5/Nek2/Ttk/Kif18b/Cenpk/Spdl1/Incenp/Brip1/Trip13/Knstrn/Ndc1/Kif23/Ccne2/Ccne1/Cenps/Brca2/Racgap1/Cenpq/Ncapd3/Smc4/Fen1/Ncapg2/Syce2/Ran/Tubg1/Cdk5rap2/Rad21/Nup62/Cep192/Smc3/Anapc15/Cenpc1/Ncaph2/Anapc5/Cdt1/Terf1/Bub3/Smc1a/Pds5b/Pds5a/Cenpx/Kpnb1/Smc5/Hnrnpu/Anapc11/Numa1/Stag1/Sfpq/Nsmce2/Rcc2/Chmp4b/Naa50/Tpr",86
"GO:0000280","GO:0000280","nuclear division","105/916","418/23328",8.69113038646693e-55,1.34162082732428e-51,1.04842478135696e-51,"Top2a/Ube2c/Birc5/Mki67/Smc2/Nusap1/Cdca8/Prc1/Kif11/Tpx2/Aurkb/Cenpe/Cdc20/Ccnb1/Tacc3/Bub1b/Kif22/Ndc80/Mad2l1/Kif20b/Plk1/Ncapd2/Aspm/Ncaph/Bub1/Cit/Fbxo5/Kif4/Nuf2/Ncapg/Cdca5/Sgo2a/Kif2c/Rad51/Sgo1/Kifc1/Spag5/Nek2/Ttk/Kif18b/Cenpk/Spdl1/Incenp/Aurka/Brip1/Fignl1/Mastl/Trip13/Knstrn/Ndc1/Kif23/Mybl2/Ccne2/Ccne1/Cenps/Cdc25b/Brca2/Racgap1/Ncapd3/Smc4/Ncapg2/Topbp1/Syce2/Ran/Ube2s/Tubg1/Cdk5rap2/Rad21/Rcc1/Nup62/Cep192/Smc3/Cks2/Anapc15/Cenpc1/Ncaph2/Nde1/Anapc5/Ranbp1/Cdt1/Terf1/Fzr1/Bub3/Smc1a/Pds5b/Pds5a/Cenpx/Kpnb1/Smc5/Hnrnpu/Anapc11/Ywhah/Numa1/Stag1/Kif2a/Rpl24/Nsmce2/Chmp4b/Naa50/Phip/Psmd13/Tgfb1/Tnf/Tpr/Ndel1",105
"GO:0140014","GO:0140014","mitotic nuclear division","86/916","268/23328",1.86702674886693e-54,2.16155021850069e-51,1.68916788489592e-51,"Ube2c/Birc5/Mki67/Smc2/Nusap1/Cdca8/Prc1/Kif11/Tpx2/Aurkb/Cenpe/Cdc20/Ccnb1/Tacc3/Bub1b/Kif22/Ndc80/Mad2l1/Kif20b/Plk1/Ncapd2/Ncaph/Bub1/Cit/Fbxo5/Kif4/Nuf2/Ncapg/Cdca5/Sgo2a/Kif2c/Sgo1/Kifc1/Spag5/Nek2/Ttk/Kif18b/Cenpk/Spdl1/Incenp/Aurka/Trip13/Knstrn/Kif23/Mybl2/Racgap1/Ncapd3/Smc4/Ncapg2/Ran/Ube2s/Tubg1/Cdk5rap2/Rad21/Rcc1/Nup62/Cep192/Smc3/Anapc15/Cenpc1/Ncaph2/Nde1/Anapc5/Ranbp1/Cdt1/Bub3/Smc1a/Pds5b/Pds5a/Kpnb1/Smc5/Hnrnpu/Anapc11/Ywhah/Numa1/Stag1/Kif2a/Rpl24/Nsmce2/Chmp4b/Naa50/Phip/Tgfb1/Tnf/Tpr/Ndel1",86
"GO:0000819","GO:0000819","sister chromatid segregation","72/916","181/23328",2.86761586706142e-53,2.65598581607229e-50,2.07555017914888e-50,"Top2a/Ube2c/Birc5/Smc2/Nusap1/Cdca8/Prc1/Aurkb/Cenpe/Cdc20/Ccnb1/Tacc3/Bub1b/Kif22/Ndc80/Esco2/Mad2l1/Plk1/Ncapd2/Ncaph/Bub1/Cit/Fbxo5/Kif4/Nuf2/Ncapg/Cdca5/Sgo2a/Kif2c/Sgo1/Spag5/Nek2/Ttk/Kif18b/Cenpk/Spdl1/Incenp/Trip13/Knstrn/Kif23/Racgap1/Ncapd3/Smc4/Fen1/Ncapg2/Ran/Tubg1/Cdk5rap2/Rad21/Nup62/Cep192/Smc3/Anapc15/Cenpc1/Ncaph2/Anapc5/Cdt1/Bub3/Smc1a/Pds5b/Pds5a/Kpnb1/Smc5/Hnrnpu/Anapc11/Numa1/Stag1/Sfpq/Nsmce2/Chmp4b/Naa50/Tpr",72
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","66/916","151/23328",3.96279155506391e-52,3.05861461525016e-49,2.39018901163329e-49,"Ube2c/Birc5/Smc2/Nusap1/Cdca8/Prc1/Aurkb/Cenpe/Cdc20/Ccnb1/Tacc3/Bub1b/Kif22/Ndc80/Mad2l1/Plk1/Ncapd2/Ncaph/Bub1/Cit/Fbxo5/Kif4/Nuf2/Ncapg/Cdca5/Sgo2a/Kif2c/Sgo1/Spag5/Nek2/Ttk/Kif18b/Cenpk/Spdl1/Incenp/Trip13/Knstrn/Kif23/Racgap1/Ncapd3/Smc4/Ncapg2/Ran/Tubg1/Cdk5rap2/Rad21/Nup62/Cep192/Anapc15/Cenpc1/Ncaph2/Anapc5/Cdt1/Bub3/Smc1a/Pds5b/Pds5a/Kpnb1/Smc5/Hnrnpu/Anapc11/Numa1/Nsmce2/Chmp4b/Naa50/Tpr",66
"GO:0048285","GO:0048285","organelle fission","107/916","472/23328",4.15424708815518e-51,2.74833118074952e-48,2.14771450963571e-48,"Top2a/Ube2c/Birc5/Mki67/Smc2/Nusap1/Cdca8/Prc1/Kif11/Tpx2/Aurkb/Cenpe/Cdc20/Ccnb1/Tacc3/Bub1b/Kif22/Ndc80/Mad2l1/Kif20b/Plk1/Ncapd2/Aspm/Ncaph/Bub1/Cit/Fbxo5/Kif4/Nuf2/Ncapg/Cdca5/Sgo2a/Kif2c/Rad51/Sgo1/Kifc1/Spag5/Nek2/Ttk/Kif18b/Mtfr2/Cenpk/Spdl1/Incenp/Aurka/Brip1/Fignl1/Mastl/Trip13/Knstrn/Ndc1/Kif23/Mybl2/Ccne2/Ccne1/Cenps/Cdc25b/Brca2/Racgap1/Ncapd3/Smc4/Ncapg2/Topbp1/Syce2/Ran/Ube2s/Tubg1/Cdk5rap2/Rad21/Rcc1/Nup62/Cep192/Smc3/Cks2/Anapc15/Cenpc1/Ncaph2/Nde1/Anapc5/Ranbp1/Cdt1/Terf1/Fzr1/Bub3/Smc1a/Pds5b/Pds5a/Cenpx/Kpnb1/Smc5/Hnrnpu/Anapc11/Ywhah/Numa1/Stag1/Kif2a/Rpl24/Nsmce2/Chmp4b/Naa50/Phip/Psmd13/Tgfb1/Tnf/Vps35/Tpr/Ndel1",107
"GO:0006260","GO:0006260","DNA replication","69/916","244/23328",9.26922036852092e-40,5.36571994082755e-37,4.1931025824967e-37,"Pclaf/Cdk1/Rrm2/Ccna2/Esco2/Fbxo5/Rad51/Rrm1/Cdc45/Mcm10/E2f8/Prim1/Mcm7/Ccne2/Ccne1/Cenps/Mcm5/Chaf1a/Dtl/Brca2/Lig1/Dbf4/Gmnn/Atad5/Rfc4/Fen1/Tipin/Pola1/Blm/Rfc5/Nucks1/Mcm3/Topbp1/Mms22l/Orc6/Mcm6/Pold1/Gins2/Mcm2/Nasp/Rfc3/Mcm4/Rfwd3/Rpa2/Rpa1/Rbbp7/Rpa3/Prim2/Pold2/Ssrp1/Cdk2/Smc3/Cdt1/Terf1/Pold3/Samhd1/Pcna/Pole3/Rbbp4/Pds5a/Cenpx/Rfc2/Rfc1/Faf1/Supt16/Fam111a/Dnajc2/Cacybp/Npm1",69
"GO:0044770","GO:0044770","cell cycle phase transition","87/916","415/23328",9.95092015756339e-39,5.12030124996401e-36,4.00131736862023e-36,"Ube2c/Birc5/Ccnb2/Cdk1/Ccna2/Cenpf/Aurkb/Cenpe/Ccnb1/Tacc3/Bub1b/Ndc80/Mad2l1/Plk1/Clspn/Bub1/Cit/Fbxo5/Foxm1/Iqgap3/Cdca5/Ccnf/Ttk/Brca1/Cdc45/Cks1b/Spdl1/Mastl/Trip13/Tcf19/Ccne2/Ccne1/Ezh2/Cdc25b/Dtl/Dbf4/Atad5/Cdkn2c/Tipin/Blm/Rnaseh2b/Lmnb1/Topbp1/Ube2s/Anp32b/Cdk5rap2/Rad21/Rbl1/Nasp/Rcc1/Rfwd3/Rpa2/Cep192/Cdk2/Cks2/Anapc15/Calm2/Tfdp1/Anapc5/Cdt1/Larp7/Fzr1/Bub3/Calm3/Paxip1/Cdk4/Rdx/Ptprc/Rpl17/Smc5/Anapc11/Rpl26/Babam1/Rpl24/Arpp19/Nsmce2/Rcc2/Chmp4b/Rps27l/Slfn1/Tgfb1/Cdk2ap2/Psme1/Npm1/Tpr/Camk2d/Bach1",87
"GO:0006281","GO:0006281","DNA repair","92/916","481/23328",1.63102336193496e-37,7.55326918912078e-35,5.90258770350777e-35,"Pclaf/Kif22/Esco2/Uhrf1/Clspn/Rad51ap1/Ube2t/Foxm1/Cdca5/Neil3/Rad51/Brca1/Cdc45/Bard1/Brip1/Fignl1/Trip13/Mcm7/Cenps/Mcm5/Chaf1a/Dtl/Brca2/Lig1/Rfc4/Fen1/Pola1/Blm/Rfc5/Hmgb1/Nsd2/Nucks1/Mcm3/Topbp1/Mms22l/Suv39h1/Mcm6/Pold1/Gins2/Rad21/Mcm2/Usp1/Dek/Rfc3/Mcm4/Rfwd3/Rpa2/Rpa1/Nsmce1/Rpa3/Pold2/Smc6/Ssrp1/Cdk2/Smc3/Hmgn1/Rhno1/Fzr1/Smc1a/Uchl5/Pold3/Paxip1/Rif1/Rad50/Samhd1/Cgas/Pcna/Pds5b/Asf1a/Rnf168/Pds5a/Nsmce4a/Cenpx/Rfc2/Smc5/Rfc1/Actl6a/Trim28/Stub1/Supt16/Babam1/Fh1/Sfpq/Nsmce2/Commd1/Psmd14/Smchd1/Swi5/Gtf2h5/Nono/Npm1/Bach1",92
