NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Details ...	140	-0.5552917	-2.4620986	0.0	0.0	0.0	1280	tags=17%, list=10%, signal=19%	
GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	Details ...	17	-0.7626017	-2.4202511	0.0	0.0	0.0	20	tags=6%, list=0%, signal=6%	
GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE	GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE	Details ...	61	-0.65257573	-2.3599	0.0	0.0	0.0	1014	tags=25%, list=8%, signal=27%	
GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER	GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER	Details ...	28	-0.71691424	-2.3467782	0.0	0.0	0.0	1427	tags=36%, list=11%, signal=40%	
GOBP_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	GOBP_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	Details ...	28	-0.78346276	-2.3039055	0.0	0.0	0.0	637	tags=25%, list=5%, signal=26%	
GOBP_HOMOTYPIC_CELL_CELL_ADHESION	GOBP_HOMOTYPIC_CELL_CELL_ADHESION	Details ...	68	-0.6603236	-2.280676	0.0	0.0	0.0	1691	tags=34%, list=13%, signal=39%	
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	Details ...	21	-0.7423384	-2.280455	0.0	0.0	0.0	1557	tags=48%, list=12%, signal=54%	
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	Details ...	228	-0.52088386	-2.2463868	0.0	0.0	0.0	1580	tags=30%, list=12%, signal=34%	
GOBP_REGULATION_OF_PLATELET_AGGREGATION	GOBP_REGULATION_OF_PLATELET_AGGREGATION	Details ...	23	-0.7913094	-2.2402232	0.0	0.0	0.0	1249	tags=30%, list=10%, signal=34%	
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	Details ...	16	-0.78790104	-2.219027	0.0	0.0	0.0	1305	tags=25%, list=10%, signal=28%	
GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	Details ...	48	-0.63631225	-2.2169092	0.0	0.0	0.0	2042	tags=35%, list=16%, signal=42%	
GOBP_REGULATION_OF_CELL_CELL_ADHESION	GOBP_REGULATION_OF_CELL_CELL_ADHESION	Details ...	358	-0.49634793	-2.2082098	0.0	0.0	0.0	1628	tags=27%, list=13%, signal=29%	
GOBP_ELECTRON_TRANSPORT_CHAIN	GOBP_ELECTRON_TRANSPORT_CHAIN	Details ...	143	-0.61421967	-2.2055938	0.0	0.0	0.0	2292	tags=50%, list=18%, signal=60%	
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	GOBP_LEUKOCYTE_CELL_CELL_ADHESION	Details ...	304	-0.50695395	-2.1978996	0.0	0.0	0.0	1610	tags=30%, list=12%, signal=33%	
GOBP_PLATELET_AGGREGATION	GOBP_PLATELET_AGGREGATION	Details ...	57	-0.64630365	-2.193022	0.0	0.0	0.0	1691	tags=35%, list=13%, signal=40%	
GOBP_T_CELL_MEDIATED_IMMUNITY	GOBP_T_CELL_MEDIATED_IMMUNITY	Details ...	88	-0.5463339	-2.1755617	0.0	3.7509075E-4	0.006666667	1914	tags=38%, list=15%, signal=44%	
