NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	0	2.3535280227661133	0.08593982	Yes	
row_1	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	1	2.0969398021698	0.16251025	Yes	
row_2	C1QB	complement C1q B chain [Source:HGNC Symbol;Acc:HGNC:1242]	2	1.8567914962768555	0.23031157	Yes	
row_3	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	50	0.3769242763519287	0.24034551	Yes	
row_4	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	74	0.3098572790622711	0.24983494	Yes	
row_5	OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	85	0.2848566472530365	0.25944304	Yes	
row_6	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	103	0.24619480967521667	0.26708394	Yes	
row_7	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	116	0.23158100247383118	0.27458796	Yes	
row_8	TANC2	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:HGNC Symbol;Acc:HGNC:30212]"	117	0.22960850596427917	0.2829722	Yes	
row_9	EEF2K	eukaryotic elongation factor 2 kinase [Source:HGNC Symbol;Acc:HGNC:24615]	149	0.18909159302711487	0.287417	Yes	
row_10	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	178	0.1687493920326233	0.29135707	Yes	
row_11	P2RX4	purinergic receptor P2X 4 [Source:HGNC Symbol;Acc:HGNC:8535]	183	0.1671966314315796	0.2971449	Yes	
row_12	CTNND1	catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	205	0.1571885645389557	0.30121827	Yes	
row_13	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	229	0.14637154340744019	0.304738	Yes	
row_14	RAPSN	receptor associated protein of the synapse [Source:HGNC Symbol;Acc:HGNC:9863]	241	0.1438623070716858	0.30911827	Yes	
row_15	PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	242	0.14355631172657013	0.3143603	Yes	
row_16	CLTA	clathrin light chain A [Source:HGNC Symbol;Acc:HGNC:2090]	286	0.1345980316400528	0.315863	Yes	
row_17	CAMK1	calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]	289	0.1341955065727234	0.3206045	Yes	
row_18	RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	317	0.12669683992862701	0.32308835	Yes	
row_19	PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]	320	0.12523679435253143	0.3275027	Yes	
row_20	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:19751]	325	0.1243298202753067	0.33172524	Yes	
row_21	P2RX7	purinergic receptor P2X 7 [Source:HGNC Symbol;Acc:HGNC:8537]	338	0.12179826200008392	0.33522052	Yes	
row_22	PPP1R9A	protein phosphatase 1 regulatory subunit 9A [Source:HGNC Symbol;Acc:HGNC:14946]	346	0.1204104870557785	0.3390619	Yes	
row_23	MKLN1	muskelin 1 [Source:HGNC Symbol;Acc:HGNC:7109]	354	0.11944776773452759	0.3428681	Yes	
row_24	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	423	0.10839357227087021	0.34143013	Yes	
row_25	NEURL1	neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:7761]	433	0.10704522579908371	0.34462476	Yes	
row_26	ABI1	abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	443	0.1059516966342926	0.34777945	Yes	
row_27	AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	477	0.1017652153968811	0.3488768	Yes	
row_28	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	484	0.10100170969963074	0.3520888	Yes	
row_29	PPP1R9B	protein phosphatase 1 regulatory subunit 9B [Source:HGNC Symbol;Acc:HGNC:9298]	527	0.09640960395336151	0.3522764	Yes	
row_30	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	737	0.07908529788255692	0.33857957	No	
row_31	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	751	0.0781894400715828	0.3404031	No	
row_32	ADD1	adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]	772	0.07701776921749115	0.34162837	No	
row_33	ABI3	ABI family member 3 [Source:HGNC Symbol;Acc:HGNC:29859]	807	0.07524314522743225	0.34167793	No	
row_34	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	809	0.07523280382156372	0.34434572	No	
