NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	Details ...	142	-0.6584471	-2.2628748	0.0	0.0	0.0	2444	tags=56%, list=19%, signal=68%	
GOCC_LAMELLIPODIUM_MEMBRANE	GOCC_LAMELLIPODIUM_MEMBRANE	Details ...	22	-0.7206011	-2.2328768	0.0	0.0	0.0	1535	tags=36%, list=12%, signal=41%	
GOCC_RESPIRASOME	GOCC_RESPIRASOME	Details ...	91	-0.6672094	-2.2207568	0.0	0.0	0.0	2444	tags=63%, list=19%, signal=77%	
GOCC_CELL_CELL_JUNCTION	GOCC_CELL_CELL_JUNCTION	Details ...	368	-0.475932	-2.1841292	0.0	0.0	0.0	1803	tags=21%, list=14%, signal=24%	
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	Details ...	116	-0.6316124	-2.182677	0.0	0.0	0.0	2644	tags=54%, list=20%, signal=68%	
GOCC_SCHAFFER_COLLATERAL_CA1_SYNAPSE	GOCC_SCHAFFER_COLLATERAL_CA1_SYNAPSE	Details ...	50	-0.5882568	-2.1815164	0.0	0.0	0.0	563	tags=18%, list=4%, signal=19%	
GOCC_SIDE_OF_MEMBRANE	GOCC_SIDE_OF_MEMBRANE	Details ...	443	-0.4822745	-2.17711	0.0	0.0	0.0	1383	tags=23%, list=11%, signal=25%	
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	Details ...	267	-0.57967365	-2.1589303	0.0	0.0	0.0	2803	tags=49%, list=22%, signal=61%	
GOCC_RIBOSOME	GOCC_RIBOSOME	Details ...	196	-0.5873881	-2.1548977	0.0	0.0	0.0	2268	tags=45%, list=17%, signal=54%	
GOCC_9PLUS2_MOTILE_CILIUM	GOCC_9PLUS2_MOTILE_CILIUM	Details ...	91	-0.5409511	-2.1417377	0.0	0.0	0.0	1689	tags=19%, list=13%, signal=21%	
