NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD93	CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]	81	0.28663966059684753	0.016530389	No	
row_1	CLEC4A	C-type lectin domain family 4 member A [Source:HGNC Symbol;Acc:HGNC:13257]	122	0.2171274721622467	0.030718075	No	
row_2	MRC1	mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228]	236	0.14477235078811646	0.033443388	No	
row_3	P3H2	prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317]	295	0.13272929191589355	0.03949921	No	
row_4	SIGLEC1	sialic acid binding Ig like lectin 1 [Source:HGNC Symbol;Acc:HGNC:11127]	306	0.13073308765888214	0.04914035	No	
row_5	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	350	0.11970668286085129	0.055328228	No	
row_6	CD33	CD33 molecule [Source:HGNC Symbol;Acc:HGNC:1659]	368	0.11594057083129883	0.063244134	No	
row_7	HK3	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	472	0.1022055521607399	0.06335638	No	
row_8	CLEC4M	C-type lectin domain family 4 member M [Source:HGNC Symbol;Acc:HGNC:13523]	638	0.08608148247003555	0.05734674	No	
row_9	COLEC12	collectin subfamily member 12 [Source:HGNC Symbol;Acc:HGNC:16016]	647	0.08525615930557251	0.063518755	No	
row_10	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	788	0.07587280124425888	0.058645576	No	
row_11	CD22	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]	810	0.07521696388721466	0.06300321	No	
row_12	LGALS8	galectin 8 [Source:HGNC Symbol;Acc:HGNC:6569]	907	0.07098857313394547	0.061173096	No	
row_13	LGALS9	galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]	943	0.06965839117765427	0.06399551	No	
row_14	PLOD1	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]"	1014	0.0669318363070488	0.06387026	No	
row_15	SLC2A8	solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812]	1021	0.06677955389022827	0.06872545	No	
row_16	MAN2A1	mannosidase alpha class 2A member 1 [Source:HGNC Symbol;Acc:HGNC:6824]	1037	0.0661848932504654	0.07283116	No	
row_17	LAYN	layilin [Source:HGNC Symbol;Acc:HGNC:29471]	1245	0.059261761605739594	0.06140724	No	
row_18	ADGRL2	adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]	1463	0.05278601497411728	0.048687015	No	
row_19	CLEC2D	C-type lectin domain family 2 member D [Source:HGNC Symbol;Acc:HGNC:14351]	1476	0.05247436463832855	0.051933832	No	
row_20	PPP1R3B	protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]	1546	0.050852421671152115	0.05060484	No	
row_21	P3H3	prolyl 3-hydroxylase 3 [Source:HGNC Symbol;Acc:HGNC:19318]	1561	0.05043633654713631	0.05353318	No	
row_22	MAG	myelin associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:6783]	1711	0.047109074890613556	0.04566505	No	
row_23	OS9	OS9 endoplasmic reticulum lectin [Source:HGNC Symbol;Acc:HGNC:16994]	1723	0.04681982472538948	0.048539136	No	
row_24	CLEC4D	C-type lectin domain family 4 member D [Source:HGNC Symbol;Acc:HGNC:14554]	1787	0.04529322311282158	0.047235053	No	
row_25	MAN2B2	mannosidase alpha class 2B member 2 [Source:HGNC Symbol;Acc:HGNC:29623]	1825	0.044629424810409546	0.04790629	No	
row_26	STBD1	starch binding domain 1 [Source:HGNC Symbol;Acc:HGNC:24854]	1827	0.044616684317588806	0.051384848	No	
row_27	PPP1R3F	protein phosphatase 1 regulatory subunit 3F [Source:HGNC Symbol;Acc:HGNC:14944]	1906	0.04307063668966293	0.048733454	No	
row_28	ATRN	attractin [Source:HGNC Symbol;Acc:HGNC:885]	2112	0.039345525205135345	0.035877947	No	
row_29	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	2140	0.03882775828242302	0.036866806	No	
