NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	345	0.12066178023815155	-0.0018586183	No	
row_1	FMO5	flavin containing dimethylaniline monoxygenase 5 [Source:HGNC Symbol;Acc:HGNC:3773]	469	0.10255502909421921	0.0097229965	No	
row_2	CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	1238	0.05937474966049194	-0.037444394	No	
row_3	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	1444	0.05319645255804062	-0.042353723	No	
row_4	CBR4	carbonyl reductase 4 [Source:HGNC Symbol;Acc:HGNC:25891]	1453	0.05298638716340065	-0.032075085	No	
row_5	GMPR2	guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]	1648	0.048411861062049866	-0.037117947	No	
row_6	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	1831	0.04453215003013611	-0.042030916	No	
row_7	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	2443	0.03338759019970894	-0.08240426	No	
row_8	GMPR	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]	3006	0.02544156275689602	-0.12062333	No	
row_9	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]	3652	0.017701465636491776	-0.16685142	No	
row_10	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]	3779	0.016321100294589996	-0.1732366	No	
row_11	NNT	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	3826	0.015836305916309357	-0.17353621	No	
row_12	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	3948	0.014631859958171844	-0.17988221	No	
row_13	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	4649	0.008552158251404762	-0.2322443	No	
row_14	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	4676	0.008402899838984013	-0.23252638	No	
row_15	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]	5100	0.004534021019935608	-0.2642984	No	
row_16	NOX4	NADPH oxidase 4 [Source:HGNC Symbol;Acc:HGNC:7891]	5888	0.0	-0.32514578	No	
row_17	NOX1	NADPH oxidase 1 [Source:HGNC Symbol;Acc:HGNC:7889]	5890	0.0	-0.3252231	No	
row_18	DCXR	dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]	6800	-3.2174980151467025E-4	-0.3954368	No	
row_19	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698]	7009	-0.0029095516074448824	-0.41092008	No	
row_20	CYB5R3	cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]	7917	-0.01012768130749464	-0.47896245	No	
row_21	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	7989	-0.010991542600095272	-0.48219135	No	
row_22	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	8163	-0.01244401279836893	-0.49300772	No	
row_23	DHRS4	dehydrogenase/reductase 4 [Source:HGNC Symbol;Acc:HGNC:16985]	8165	-0.012446383014321327	-0.4905253	No	
row_24	CRYZ	crystallin zeta [Source:HGNC Symbol;Acc:HGNC:2419]	8717	-0.01827404834330082	-0.529368	No	
row_25	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2 [Source:HGNC Symbol;Acc:HGNC:7685]	9196	-0.02361176908016205	-0.56146884	No	
row_26	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	9451	-0.02720712125301361	-0.5755116	No	
row_27	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]	9946	-0.03531917929649353	-0.6064418	No	
row_28	CYB5R1	cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]	10013	-0.03665431961417198	-0.6040063	No	
row_29	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]	10314	-0.04165823385119438	-0.61863357	No	
row_30	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]	10572	-0.046285971999168396	-0.6289845	Yes	
row_31	CYB5RL	cytochrome b5 reductase like [Source:HGNC Symbol;Acc:HGNC:32220]	10595	-0.04690033942461014	-0.6210399	Yes	
row_32	AIFM2	apoptosis inducing factor mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]	10714	-0.04954410344362259	-0.61997396	Yes	
row_33	CRYZL1	crystallin zeta like 1 [Source:HGNC Symbol;Acc:HGNC:2420]	10773	-0.05120182782411575	-0.6139281	Yes	
row_34	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6 [Source:HGNC Symbol;Acc:HGNC:7701]	10838	-0.05274380370974541	-0.608029	Yes	
row_35	COX15	cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]	10947	-0.05589943751692772	-0.60488284	Yes	
