NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	3	1.5168840885162354	0.12169826	No	
row_1	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	76	0.2996978759765625	0.1401901	No	
row_2	CHP2	calcineurin like EF-hand protein 2 [Source:HGNC Symbol;Acc:HGNC:24927]	147	0.19022642076015472	0.15003781	No	
row_3	PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	242	0.14355631172657013	0.1542678	No	
row_4	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	459	0.104191854596138	0.14584677	No	
row_5	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	490	0.10064647346735	0.15160422	No	
row_6	MT-CYB	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	531	0.09617126733064651	0.15622433	No	
row_7	GNAQ	G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]	678	0.08258277922868729	0.15150954	No	
row_8	PPP3CB	protein phosphatase 3 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9315]	924	0.07033193856477737	0.1381117	No	
row_9	MAPT	microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]	1025	0.06668751686811447	0.13569619	No	
row_10	MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	1050	0.06584537774324417	0.13912277	No	
row_11	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	1128	0.06316810101270676	0.13821284	No	
row_12	MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	2831	0.02797485515475273	0.0081131905	No	
