NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	14	0.6372554898262024	0.19159672	Yes	
row_1	GNA12	G protein subunit alpha 12 [Source:HGNC Symbol;Acc:HGNC:4380]	82	0.28630030155181885	0.27298966	Yes	
row_2	PLA2G2D	phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]	93	0.25844866037368774	0.35036105	Yes	
row_3	KRAS	"KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]"	192	0.1653451770544052	0.3927899	Yes	
row_4	PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	242	0.14355631172657013	0.4324128	Yes	
row_5	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	309	0.1295367032289505	0.4664847	Yes	
row_6	GNAQ	G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]	678	0.08258277922868729	0.4630502	No	
row_7	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	955	0.06915386021137238	0.46265632	No	
row_8	PLA2G6	phospholipase A2 group VI [Source:HGNC Symbol;Acc:HGNC:9039]	1389	0.05464128032326698	0.44575655	No	
row_9	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	1677	0.04778328537940979	0.43805218	No	
row_10	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	3905	0.015084282495081425	0.2707235	No	
row_11	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]	4146	0.0123771196231246	0.25594154	No	
row_12	PRKG2	protein kinase cGMP-dependent 2 [Source:HGNC Symbol;Acc:HGNC:9416]	4646	0.008560534566640854	0.22001489	No	
row_13	BRAF	"B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]"	4806	0.007519305218011141	0.21001607	No	
row_14	CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	5070	0.0049532814882695675	0.19121425	No	
row_15	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	5231	0.0029395183082669973	0.17975354	No	
row_16	PRKG1	protein kinase cGMP-dependent 1 [Source:HGNC Symbol;Acc:HGNC:9414]	6222	0.0	0.10334106	No	
row_17	GRIA3	glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573]	6488	0.0	0.08288722	No	
row_18	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	6581	0.0	0.075786255	No	
row_19	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	6649	0.0	0.07061491	No	
row_20	GNAZ	G protein subunit alpha z [Source:HGNC Symbol;Acc:HGNC:4395]	6653	0.0	0.070383355	No	
