NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	89	0.2674228250980377	0.018523421	No	
row_1	CLTA	clathrin light chain A [Source:HGNC Symbol;Acc:HGNC:2090]	286	0.1345980316400528	0.016086945	No	
row_2	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	300	0.1317518651485443	0.027612042	No	
row_3	RPL22L1	ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]	512	0.09786644577980042	0.02051398	No	
row_4	NUP133	nucleoporin 133 [Source:HGNC Symbol;Acc:HGNC:18016]	853	0.07351843267679214	0.001066549	No	
row_5	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	871	0.0725000873208046	0.006642771	No	
row_6	POLR2A	RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]	960	0.06904821842908859	0.006368695	No	
row_7	TPR	"translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]"	1006	0.06707965582609177	0.009251532	No	
row_8	NUP35	nucleoporin 35 [Source:HGNC Symbol;Acc:HGNC:29797]	1034	0.06621134281158447	0.013451657	No	
row_9	NUP37	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	1208	0.060447510331869125	0.005748556	No	
row_10	KPNA1	karyopherin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6394]	1272	0.0584237314760685	0.006407879	No	
row_11	PARP1	poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]	1345	0.05599832534790039	0.006136472	No	
row_12	PABPN1	poly(A) binding protein nuclear 1 [Source:HGNC Symbol;Acc:HGNC:8565]	1618	0.048983488231897354	-0.010356913	No	
row_13	NUP58	nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]	1799	0.04500837251543999	-0.020073451	No	
row_14	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	2090	0.03991163522005081	-0.038829926	No	
row_15	RPL39L	ribosomal protein L39 like [Source:HGNC Symbol;Acc:HGNC:17094]	2358	0.03461796045303345	-0.05630132	No	
row_16	NUP88	nucleoporin 88 [Source:HGNC Symbol;Acc:HGNC:8067]	2466	0.03300292789936066	-0.061482772	No	
row_17	RAE1	ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]	2763	0.028787704184651375	-0.081764325	No	
row_18	RPL18A	ribosomal protein L18a [Source:HGNC Symbol;Acc:HGNC:10311]	2950	0.026154890656471252	-0.093741395	No	
row_19	NUP43	nucleoporin 43 [Source:HGNC Symbol;Acc:HGNC:21182]	3101	0.024234777316451073	-0.10310136	No	
row_20	NUP214	nucleoporin 214 [Source:HGNC Symbol;Acc:HGNC:8064]	3224	0.022732550278306007	-0.11042662	No	
row_21	RPS29	ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]	3379	0.020924154669046402	-0.12041267	No	
row_22	NUP50	nucleoporin 50 [Source:HGNC Symbol;Acc:HGNC:8065]	3767	0.01642155833542347	-0.14894816	No	
row_23	GRSF1	G-rich RNA sequence binding factor 1 [Source:HGNC Symbol;Acc:HGNC:4610]	3904	0.015086282975971699	-0.15808979	No	
row_24	NUP62	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	3951	0.014605220407247543	-0.16027763	No	
row_25	NUP155	nucleoporin 155 [Source:HGNC Symbol;Acc:HGNC:8063]	3955	0.014583876356482506	-0.1591233	No	
row_26	NUP188	nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859]	3974	0.01434172410517931	-0.1591586	No	
row_27	NUP54	nucleoporin 54 [Source:HGNC Symbol;Acc:HGNC:17359]	4085	0.013053287751972675	-0.16647157	No	
row_28	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	4297	0.011083869263529778	-0.18182696	No	
row_29	NUP205	nucleoporin 205 [Source:HGNC Symbol;Acc:HGNC:18658]	4468	0.009802923537790775	-0.19411556	No	
row_30	CPSF4	cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]	4647	0.008556789718568325	-0.2071449	No	
row_31	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	4683	0.008362172171473503	-0.2090713	No	
row_32	POLR2D	RNA polymerase II subunit D [Source:HGNC Symbol;Acc:HGNC:9191]	5093	0.004678218625485897	-0.24043515	No	
row_33	GTF2F2	general transcription factor IIF subunit 2 [Source:HGNC Symbol;Acc:HGNC:4653]	5251	0.0027187250088900328	-0.25238675	No	
row_34	RPL23	ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316]	5439	1.7833778110798448E-4	-0.26691326	No	
row_35	RPS28	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	6935	-0.0021196496672928333	-0.38298163	No	
row_36	KPNA3	karyopherin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6396]	6968	-0.002460799878463149	-0.3852362	No	
row_37	FAU	FAU ubiquitin like and ribosomal protein S30 fusion [Source:HGNC Symbol;Acc:HGNC:3597]	7173	-0.004899929743260145	-0.40063557	No	
row_38	NUP42	nucleoporin 42 [Source:HGNC Symbol;Acc:HGNC:17010]	7304	-0.005950901657342911	-0.4101798	No	
row_39	RPS15	ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:10388]	7505	-0.006947874091565609	-0.4250732	No	
row_40	KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]	7884	-0.009819857776165009	-0.4535369	No	
row_41	GTF2F1	general transcription factor IIF subunit 1 [Source:HGNC Symbol;Acc:HGNC:4652]	7903	-0.010008090175688267	-0.45398456	No	
row_42	NUP93	nucleoporin 93 [Source:HGNC Symbol;Acc:HGNC:28958]	8091	-0.011886014603078365	-0.46739706	No	
row_43	KPNB1	karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]	8119	-0.012051444500684738	-0.46835023	No	
row_44	POLR2C	RNA polymerase II subunit C [Source:HGNC Symbol;Acc:HGNC:9189]	8120	-0.012057404033839703	-0.467203	No	
row_45	RPL13A	ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304]	8158	-0.01240414660423994	-0.46890032	No	
row_46	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]	8298	-0.013750146143138409	-0.47840238	No	
row_47	RPL10	ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298]	8446	-0.015140971168875694	-0.4883943	No	
row_48	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	8578	-0.016633182764053345	-0.49699986	No	
row_49	RPS17	ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]	8610	-0.017084961757063866	-0.49778518	No	
row_50	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	8644	-0.01743393763899803	-0.49869284	No	
row_51	RPL35A	ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345]	8937	-0.0206416305154562	-0.5194384	No	
row_52	RPS14	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	8941	-0.020751990377902985	-0.51769716	No	
row_53	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	9210	-0.02379947528243065	-0.53627574	No	
row_54	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	9354	-0.025732049718499184	-0.5449488	No	
row_55	AAAS	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	9422	-0.026703134179115295	-0.5476188	No	
row_56	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]	9455	-0.02725951001048088	-0.5475138	No	
row_57	RPL27A	ribosomal protein L27a [Source:HGNC Symbol;Acc:HGNC:10329]	9508	-0.028090357780456543	-0.54888517	No	
row_58	NUP160	nucleoporin 160 [Source:HGNC Symbol;Acc:HGNC:18017]	9524	-0.02827208675444126	-0.5473617	No	
row_59	RPS4X	ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	9562	-0.029012996703386307	-0.5474787	No	
row_60	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	9587	-0.029447678476572037	-0.5465433	No	
row_61	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	9608	-0.029727747663855553	-0.54527014	No	
row_62	POM121	POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:19702]	9654	-0.030490975826978683	-0.5458687	No	
row_63	RPL37	ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]	9778	-0.03231743350625038	-0.55235976	No	
row_64	NUP107	nucleoporin 107 [Source:HGNC Symbol;Acc:HGNC:29914]	9789	-0.0324646532535553	-0.5500485	No	
row_65	RPL3	ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	9965	-0.035696160048246384	-0.5602622	No	
row_66	RPL10A	ribosomal protein L10a [Source:HGNC Symbol;Acc:HGNC:10299]	10019	-0.03674707189202309	-0.5608877	No	
