NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	3	1.5168840885162354	0.447999	Yes	
row_1	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	53	0.3633791506290436	0.551596	Yes	
row_2	MYLIP	myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]	392	0.1123090535402298	0.5587125	Yes	
row_3	APOC1	apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]	611	0.08827267587184906	0.567982	Yes	
row_4	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22223]	839	0.07413482666015625	0.57237977	Yes	
row_5	NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	880	0.07222681492567062	0.59063715	Yes	
row_6	HDAC3	histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]	889	0.07191456854343414	0.6112704	Yes	
row_7	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	940	0.06981553882360458	0.62804395	Yes	
row_8	GPS2	G protein pathway suppressor 2 [Source:HGNC Symbol;Acc:HGNC:4550]	1185	0.06113503873348236	0.6272891	No	
row_9	AGO1	argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]	1567	0.05026652291417122	0.6127558	No	
row_10	TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	2304	0.03546449542045593	0.5664671	No	
row_11	ANGPTL3	angiopoietin like 3 [Source:HGNC Symbol;Acc:HGNC:491]	2397	0.034091610461473465	0.56944495	No	
row_12	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	2549	0.03179867938160896	0.5671945	No	
row_13	APOC4	apolipoprotein C4 [Source:HGNC Symbol;Acc:HGNC:611]	2552	0.03176446259021759	0.5764265	No	
row_14	NCOA1	nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:7668]	3161	0.023378528654575348	0.5364392	No	
row_15	TNRC6B	trinucleotide repeat containing adaptor 6B [Source:HGNC Symbol;Acc:HGNC:29190]	3169	0.023294441401958466	0.54278266	No	
