NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	300	0.1317518651485443	-0.016257765	No	
row_1	EEF1D	eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211]	454	0.10544203966856003	-0.0224221	No	
row_2	RPL22L1	ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]	512	0.09786644577980042	-0.021460567	No	
row_3	MRPL23	mitochondrial ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10322]	534	0.09581529349088669	-0.017782917	No	
row_4	MRPL9	mitochondrial ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:14277]	545	0.09459914267063141	-0.013308121	No	
row_5	NARS1	asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643]	556	0.0935080498456955	-0.008894004	No	
row_6	MRPL38	mitochondrial ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:14033]	651	0.08471041172742844	-0.011572925	No	
row_7	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	737	0.07908529788255692	-0.01385713	No	
row_8	MRPS22	mitochondrial ribosomal protein S22 [Source:HGNC Symbol;Acc:HGNC:14508]	964	0.06897952407598495	-0.027788254	No	
row_9	OXA1L	OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]	985	0.06811775267124176	-0.025572335	No	
row_10	SEC61A2	SEC61 translocon subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:17702]	1115	0.0636235699057579	-0.032175537	No	
row_11	N6AMT1	N-6 adenine-specific DNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:16021]	1384	0.05483449250459671	-0.0501952	No	
row_12	HARS2	"histidyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:4817]"	1473	0.052539050579071045	-0.05419157	No	
row_13	APEH	acylaminoacyl-peptide hydrolase [Source:HGNC Symbol;Acc:HGNC:586]	1496	0.051817964762449265	-0.053039372	No	
row_14	MRPL37	mitochondrial ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:14034]	1497	0.05181679129600525	-0.050157674	No	
row_15	TRMT112	tRNA methyltransferase activator subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940]	1505	0.05160819739103317	-0.04783789	No	
row_16	MRPL50	mitochondrial ribosomal protein L50 [Source:HGNC Symbol;Acc:HGNC:16654]	1520	0.05133286491036415	-0.046083737	No	
row_17	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	1542	0.05090732499957085	-0.04490356	No	
row_18	EIF5B	eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793]	1570	0.05014488101005554	-0.044237487	No	
row_19	MRPS36	mitochondrial ribosomal protein S36 [Source:HGNC Symbol;Acc:HGNC:16631]	1609	0.04919746518135071	-0.04448888	No	
row_20	EIF4B	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]	1638	0.0485970601439476	-0.0439875	No	
row_21	MRPL17	mitochondrial ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:14053]	1647	0.04842531681060791	-0.041923348	No	
row_22	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	1712	0.04709998145699501	-0.044335414	No	
row_23	MRPL48	mitochondrial ribosomal protein L48 [Source:HGNC Symbol;Acc:HGNC:16653]	1763	0.045845482498407364	-0.045716617	No	
row_24	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha [Source:HGNC Symbol;Acc:HGNC:3257]	1988	0.04181480035185814	-0.061001226	No	
row_25	WARS2	"tryptophanyl tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12730]"	2279	0.03587822616100311	-0.08180466	No	
row_26	MTIF2	mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441]	2311	0.03535044193267822	-0.08227582	No	
row_27	MRPL46	mitochondrial ribosomal protein L46 [Source:HGNC Symbol;Acc:HGNC:1192]	2325	0.03514061123132706	-0.081343554	No	
row_28	SRP19	signal recognition particle 19 [Source:HGNC Symbol;Acc:HGNC:11300]	2336	0.03495955467224121	-0.0801855	No	
row_29	RPL39L	ribosomal protein L39 like [Source:HGNC Symbol;Acc:HGNC:17094]	2358	0.03461796045303345	-0.07991123	No	
row_30	MRPL58	mitochondrial ribosomal protein L58 [Source:HGNC Symbol;Acc:HGNC:5359]	2461	0.03317905217409134	-0.08608491	No	
row_31	LARS2	"leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]"	2540	0.03192385658621788	-0.09044159	No	
row_32	ERAL1	Era like 12S mitochondrial rRNA chaperone 1 [Source:HGNC Symbol;Acc:HGNC:3424]	2613	0.03093194216489792	-0.09438175	No	
row_33	PARS2	"prolyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:30563]"	2666	0.030089356005191803	-0.09679643	No	
row_34	MRPL12	mitochondrial ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10378]	2825	0.028025075793266296	-0.10765925	No	
row_35	MRPS23	mitochondrial ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:14509]	2855	0.02760361321270466	-0.108404	No	
row_36	PTCD3	pentatricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:24717]	2906	0.02696305140852928	-0.11083532	No	
row_37	RPL18A	ribosomal protein L18a [Source:HGNC Symbol;Acc:HGNC:10311]	2950	0.026154890656471252	-0.11276127	No	
row_38	MRPS27	mitochondrial ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:14512]	3039	0.02507602423429489	-0.11828495	No	
row_39	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	3097	0.024277301505208015	-0.12141594	No	
row_40	RPS29	ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]	3379	0.020924154669046402	-0.14234348	No	
row_41	MRPL41	mitochondrial ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:14492]	3419	0.02035454474389553	-0.14427753	No	
row_42	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	3462	0.019767215475440025	-0.1464801	No	
row_43	MRPL10	mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]	3484	0.019398903474211693	-0.14705221	No	
row_44	FARSA	phenylalanyl-tRNA synthetase subunit alpha [Source:HGNC Symbol;Acc:HGNC:3592]	3497	0.01925933174788952	-0.14692454	No	
row_45	RARS2	"arginyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21406]"	3570	0.01851663365960121	-0.15155514	No	
