NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOSB	"FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]"	101	0.2475566864013672	0.027244331	No	
row_1	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	163	0.17654122412204742	0.047529705	No	
row_2	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	245	0.14276422560214996	0.061473884	No	
row_3	KLF7	Kruppel like factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]	393	0.11224570870399475	0.065965645	No	
row_4	RREB1	ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449]	399	0.1109815239906311	0.0813082	No	
row_5	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	423	0.10839357227087021	0.09488576	No	
row_6	ABI1	abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	443	0.1059516966342926	0.1084279	No	
row_7	POGZ	pogo transposable element derived with ZNF domain [Source:HGNC Symbol;Acc:HGNC:18801]	455	0.10515511780977249	0.12247854	No	
row_8	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	908	0.07094509899616241	0.097425036	No	
row_9	GOLGA1	golgin A1 [Source:HGNC Symbol;Acc:HGNC:4424]	991	0.06797480583190918	0.10069061	No	
row_10	LUC7L	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]	1044	0.06595378369092941	0.106	No	
row_11	CILK1	ciliogenesis associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:21219]	1215	0.06035729870200157	0.10135035	No	
row_12	NOVA1	NOVA alternative splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:7886]	1294	0.057745009660720825	0.10347662	No	
row_13	H2AZ2	H2A.Z variant histone 2 [Source:HGNC Symbol;Acc:HGNC:20664]	1305	0.05732983350753784	0.11082601	No	
row_14	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]	1425	0.05369795858860016	0.10919392	No	
