NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	77	0.29839760065078735	0.016691444	No	
row_1	TMEM86A	transmembrane protein 86A [Source:HGNC Symbol;Acc:HGNC:26890]	157	0.18241947889328003	0.024401087	No	
row_2	RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	200	0.16084454953670502	0.033359576	No	
row_3	RHOG	ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]	257	0.14102745056152344	0.0397163	No	
row_4	PPP1R12C	protein phosphatase 1 regulatory subunit 12C [Source:HGNC Symbol;Acc:HGNC:14947]	314	0.12720593810081482	0.045021247	No	
row_5	MKLN1	muskelin 1 [Source:HGNC Symbol;Acc:HGNC:7109]	354	0.11944776773452759	0.051063955	No	
row_6	ZEB2	zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]	364	0.11702235043048859	0.05926584	No	
row_7	RASSF2	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]	390	0.11242740601301193	0.06586807	No	
row_8	TWF1	twinfilin actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9620]	476	0.10189496725797653	0.066981316	No	
row_9	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]	485	0.10099811851978302	0.07404194	No	
row_10	RPP25L	ribonuclease P/MRP subunit p25 like [Source:HGNC Symbol;Acc:HGNC:19909]	622	0.0873485580086708	0.070063874	No	
row_11	FOXN3	forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]	752	0.0781676396727562	0.06593405	No	
row_12	RTN4RL1	reticulon 4 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21329]	770	0.0771116390824318	0.070473865	No	
row_13	RYBP	RING1 and YY1 binding protein [Source:HGNC Symbol;Acc:HGNC:10480]	773	0.07694890350103378	0.07617317	No	
row_14	ACIN1	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]	903	0.07110411673784256	0.07150583	No	
row_15	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	922	0.07034878432750702	0.075452894	No	
row_16	POU2F1	POU class 2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9212]	939	0.06982859969139099	0.07951662	No	
row_17	APLNR	apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]	1041	0.06604327261447906	0.07665167	No	
row_18	LUC7L	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]	1044	0.06595378369092941	0.081514284	No	
row_19	FCER1G	Fc fragment of IgE receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	1107	0.06391505151987076	0.08153425	No	
row_20	ATF7IP	activating transcription factor 7 interacting protein [Source:HGNC Symbol;Acc:HGNC:20092]	1173	0.06144258752465248	0.081131704	No	
row_21	SWT1	SWT1 RNA endoribonuclease homolog [Source:HGNC Symbol;Acc:HGNC:16785]	1228	0.059683073312044144	0.08145464	No	
row_22	MAFG	MAF bZIP transcription factor G [Source:HGNC Symbol;Acc:HGNC:6781]	1236	0.059528280049562454	0.08543767	No	
row_23	TBC1D10B	TBC1 domain family member 10B [Source:HGNC Symbol;Acc:HGNC:24510]	1303	0.057392627000808716	0.08464881	No	
row_24	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	1340	0.05612591654062271	0.086107306	No	
row_25	MTMR11	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]	1342	0.056062307208776474	0.09029534	No	
row_26	ZNF821	zinc finger protein 821 [Source:HGNC Symbol;Acc:HGNC:28043]	1361	0.055480342358350754	0.093110956	No	
row_27	BATF3	basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]	1362	0.05545239895582199	0.097330704	No	
