NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD63	CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692]	8	0.8564110994338989	0.18568034	Yes	
row_1	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	57	0.34769266843795776	0.25760376	Yes	
row_2	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	77	0.29839760065078735	0.32104632	Yes	
row_3	H3-3B	H3.3 histone B [Source:HGNC Symbol;Acc:HGNC:4765]	105	0.24464203417301178	0.37217656	Yes	
row_4	RASA4	RAS p21 protein activator 4 [Source:HGNC Symbol;Acc:HGNC:23181]	195	0.16244132816791534	0.400631	Yes	
row_5	ETV1	ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]	637	0.08616620302200317	0.38527367	Yes	
row_6	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	710	0.08013924956321716	0.39713913	Yes	
row_7	METTL15	methyltransferase like 15 [Source:HGNC Symbol;Acc:HGNC:26606]	1108	0.06377092003822327	0.38031247	Yes	
row_8	KLF11	Kruppel like factor 11 [Source:HGNC Symbol;Acc:HGNC:11811]	1136	0.06286264210939407	0.3918994	Yes	
row_9	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	1222	0.05993460491299629	0.39836442	Yes	
row_10	KCTD21	potassium channel tetramerization domain containing 21 [Source:HGNC Symbol;Acc:HGNC:27452]	1226	0.059723541140556335	0.41112438	Yes	
row_11	SNX12	sorting nexin 12 [Source:HGNC Symbol;Acc:HGNC:14976]	1369	0.05520934611558914	0.41215378	Yes	
row_12	RGL2	ral guanine nucleotide dissociation stimulator like 2 [Source:HGNC Symbol;Acc:HGNC:9769]	1391	0.05463492497801781	0.4224149	Yes	
row_13	TMEM181	transmembrane protein 181 [Source:HGNC Symbol;Acc:HGNC:20958]	1530	0.05113183334469795	0.4228666	Yes	
row_14	LTBP3	latent transforming growth factor beta binding protein 3 [Source:HGNC Symbol;Acc:HGNC:6716]	1633	0.048767831176519394	0.4255879	Yes	
row_15	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	1814	0.0448664054274559	0.42142892	Yes	
row_16	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	1847	0.044167641550302505	0.42856243	Yes	
row_17	DTWD1	DTW domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30926]	1903	0.043169282376766205	0.43370023	Yes	
