NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	4	1.2049453258514404	0.12973773	Yes	
row_1	KLF2	Kruppel like factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	43	0.3950430154800415	0.16942105	Yes	
row_2	PMEPA1	"prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]"	49	0.3801250457763672	0.210059	Yes	
row_3	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	53	0.3633791506290436	0.249045	Yes	
row_4	TSC22D3	TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]	66	0.32216569781303406	0.28288344	Yes	
row_5	H3-3B	H3.3 histone B [Source:HGNC Symbol;Acc:HGNC:4765]	105	0.24464203417301178	0.3063341	Yes	
row_6	DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]	182	0.1672934889793396	0.31848335	Yes	
row_7	RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	200	0.16084454953670502	0.33452195	Yes	
row_8	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	228	0.14651067554950714	0.34823632	Yes	
row_9	TNFRSF17	TNF receptor superfamily member 17 [Source:HGNC Symbol;Acc:HGNC:11913]	237	0.1446872353553772	0.36323053	Yes	
row_10	RHOBTB1	Rho related BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18738]	243	0.14335009455680847	0.37831357	Yes	
row_11	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	266	0.13882088661193848	0.39158657	Yes	
row_12	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	486	0.10089719295501709	0.38545603	No	
row_13	DDX3X	DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]	720	0.07983294129371643	0.375964	No	
row_14	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	748	0.07839366793632507	0.38232654	No	
row_15	MITF	melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105]	984	0.06824170053005219	0.37142804	No	
