NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNPY3	canopy FGF signaling regulator 3 [Source:HGNC Symbol;Acc:HGNC:11968]	589	0.09042216837406158	-0.009344136	No	
row_1	CDCA7	cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]	1212	0.06043647602200508	-0.033219375	No	
row_2	BLCAP	BLCAP apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:1055]	2168	0.03825078159570694	-0.091672875	No	
row_3	DCTN1	dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]	2701	0.02973245456814766	-0.12086894	No	
row_4	UPF2	UPF2 regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:17854]	2964	0.025955310091376305	-0.13072665	No	
row_5	NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor [Source:HGNC Symbol;Acc:HGNC:29843]	3035	0.025133302435278893	-0.12608774	No	
row_6	CNPY4	canopy FGF signaling regulator 4 [Source:HGNC Symbol;Acc:HGNC:28631]	3236	0.02263137698173523	-0.13248649	No	
row_7	C19orf48	chromosome 19 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29667]	3376	0.02095756307244301	-0.13484408	No	
row_8	FGD3	"FYVE, RhoGEF and PH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16027]"	3405	0.020633066073060036	-0.12876058	No	
row_9	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	3703	0.01709946058690548	-0.14485979	No	
row_10	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]	4066	0.013259073719382286	-0.16751264	No	
row_11	PHF5A	PHD finger protein 5A [Source:HGNC Symbol;Acc:HGNC:18000]	4143	0.012413736432790756	-0.16842008	No	
row_12	DZANK1	double zinc ribbon and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15858]	4384	0.010341733694076538	-0.18281865	No	
