"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sig","Gene"
"Cd209a",2.20786906879553e-82,2.82037907818373,0.633,0.083,3.03581996959386e-78,"2","Cd209a"
"Napsa",1.90892324373793e-104,2.02508074116687,0.796,0.219,2.62476946013965e-100,"2","Napsa"
"Plac8",1.5141384617467e-26,1.92367110052291,0.346,0.092,2.08194038490171e-22,"2","Plac8"
"S100a6",1.12909694693435e-107,1.79115344474467,0.946,0.48,1.55250830203472e-103,"2","S100a6"
"Tmsb10",2.64147053017063e-117,1.68933135411816,0.97,0.737,3.63202197898461e-113,"2","Tmsb10"
"Ear2",1.25429441345412e-47,1.52361897278577,0.461,0.069,1.72465481849941e-43,"2","Ear2"
"Tnfsf9",6.43034030756208e-40,1.48563838236829,0.602,0.254,8.84171792289786e-36,"2","Tnfsf9"
"Tnip3",1.83865373062465e-51,1.48271152723549,0.667,0.243,2.5281488796089e-47,"2","Tnip3"
"Ccl17",5.29804141851251e-18,1.47164493054753,0.206,0.031,7.2848069504547e-14,"2","Ccl17"
"S100a4",1.36799116306478e-79,1.42370736910115,0.861,0.339,1.88098784921407e-75,"2","S100a4"
"Areg",3.2683135370227e-21,1.42231366689841,0.34,0.105,4.49393111340621e-17,"2","Areg"
"Bhlhe40",1.04171687328508e-54,1.31382111998775,0.555,0.116,1.43236070076698e-50,"2","Bhlhe40"
"Ltb4r1",7.87370935887748e-58,1.26703458448932,0.447,0.016,1.08263503684565e-53,"2","Ltb4r1"
"Gm2a",4.20822949619957e-71,1.26353465589802,0.885,0.621,5.7863155572744e-67,"2","Gm2a"
"Clec4b1",8.73097717766987e-58,1.25001753020348,0.692,0.25,1.20050936192961e-53,"2","Clec4b1"
"Cytip",1.71148091264822e-48,1.19327597304155,0.743,0.342,2.3532862548913e-44,"2","Cytip"
"Mcemp1",7.46815523067015e-47,1.17917469676879,0.477,0.08,1.02687134421715e-42,"2","Mcemp1"
"S100a11",9.95724546361185e-61,1.14987655279537,0.907,0.723,1.36912125124663e-56,"2","S100a11"
"Lsp1",7.98118886462459e-69,1.14862137907794,0.925,0.69,1.09741346888588e-64,"2","Lsp1"
"Lmo4",1.78926331779613e-37,1.09650178130159,0.499,0.145,2.46023706196968e-33,"2","Lmo4"
"Ifitm3",2.32341446563532e-27,1.00786562507115,0.878,0.703,3.19469489024856e-23,"2","Ifitm3"
"Plaur",1.2053838616496e-39,0.998556838209664,0.79,0.502,1.6574028097682e-35,"2","Plaur"
"H2-Oa",1.11858885652169e-32,0.968432910686546,0.379,0.069,1.53805967771732e-28,"2","H2-Oa"
"Srgn",1.69021258182806e-78,0.966641908143093,0.994,0.96,2.32404230001358e-74,"2","Srgn"
"Anxa2",3.11092131039596e-36,0.95009895051857,0.751,0.458,4.27751680179444e-32,"2","Anxa2"
"Itgb7",1.03595899902386e-39,0.936481481129939,0.368,0.033,1.42444362365781e-35,"2","Itgb7"
"Pglyrp1",1.22820048967572e-16,0.925954090190397,0.181,0.022,1.68877567330411e-12,"2","Pglyrp1"
"Btg1",2.92833607448639e-44,0.918426646752663,0.946,0.788,4.02646210241878e-40,"2","Btg1"
"Olfm1",1.69175542458856e-36,0.914645943154437,0.589,0.237,2.32616370880926e-32,"2","Olfm1"
"Emb",5.78470697924898e-37,0.913922850548186,0.64,0.279,7.95397209646734e-33,"2","Emb"
"Ifitm6",1.88540190169286e-17,0.881236982250855,0.242,0.058,2.59242761482768e-13,"2","Ifitm6"
"H2afy",3.54531714694407e-32,0.855324902287547,0.703,0.417,4.8748110770481e-28,"2","H2afy"
"Smpdl3a",3.81069202692292e-27,0.854251406460001,0.531,0.23,5.23970153701901e-23,"2","Smpdl3a"
"Fn1",2.52050872421641e-10,0.850349097647279,0.151,0.038,3.46569949579756e-06,"2","Fn1"
"Clec4n",1.05469769736111e-11,0.845727874434901,0.519,0.348,1.45020933387153e-07,"2","Clec4n"
"Lgals3",1.31894446004812e-47,0.834113868474798,0.955,0.694,1.81354863256617e-43,"2","Lgals3"
"Ccrl2",1.00941837558155e-26,0.833528562867106,0.823,0.632,1.38795026642463e-22,"2","Ccrl2"
"Il1r2",5.73263473155855e-15,0.830099635140263,0.229,0.06,7.88237275589301e-11,"2","Il1r2"
"Samsn1",5.56819954153961e-20,0.81285918939736,0.452,0.208,7.65627436961696e-16,"2","Samsn1"
"Mgl2",1.45758403941967e-26,0.794142840297183,0.893,0.817,2.00417805420204e-22,"2","Mgl2"
"Cd52",1.66153939791297e-69,0.79183063798242,0.992,0.964,2.28461667213033e-65,"2","Cd52"
"Ptprc",1.5748731299952e-28,0.791126188573945,0.872,0.683,2.1654505537434e-24,"2","Ptprc"
"Ccr1",2.94060266452517e-24,0.78389620592521,0.459,0.174,4.0433286637221e-20,"2","Ccr1"
"Nr4a2",5.86023048009459e-18,0.78078410557244,0.281,0.08,8.05781691013006e-14,"2","Nr4a2"
"Rgcc",2.53877610688844e-16,0.778174007631574,0.216,0.042,3.49081714697161e-12,"2","Rgcc"
"Traf1",6.62519208693033e-23,0.776795246577962,0.458,0.183,9.1096391195292e-19,"2","Traf1"
"Nr4a1",3.68748714833465e-22,0.773118111763747,0.656,0.402,5.07029482896014e-18,"2","Nr4a1"
"Itgal",5.28478042797164e-15,0.748201442696487,0.26,0.08,7.266573088461e-11,"2","Itgal"
"Etv3",4.11130553732882e-21,0.744986493753016,0.525,0.266,5.65304511382713e-17,"2","Etv3"
"Msrb1",4.50195200581688e-15,0.73447334368001,0.524,0.308,6.19018400799821e-11,"2","Msrb1"
"Fxyd5",4.01316851556085e-51,0.731078925930259,0.972,0.938,5.51810670889617e-47,"2","Fxyd5"
"Ptgs2",8.59283703405709e-14,0.722291389773246,0.368,0.17,1.18151509218285e-09,"2","Ptgs2"
"Actb",7.59876422350787e-50,0.720870780876551,1,1,1.04483008073233e-45,"2","Actb"
"Trem1",1.56445416575211e-26,0.71621230985111,0.268,0.027,2.15112447790916e-22,"2","Trem1"
"Nr4a3",1.49177392485429e-22,0.711724447538272,0.294,0.06,2.05118914667464e-18,"2","Nr4a3"
"Itgax",3.68405688386893e-22,0.709604462523576,0.438,0.165,5.06557821531977e-18,"2","Itgax"
"Ly6a",6.60020138891605e-08,0.705470791891887,0.101,0.02,0.000907527690975957,"2","Ly6a"
