"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sig","Gene"
"Cd209a",2.89947163890444e-92,3.2134968112133,0.739,0.083,3.9867735034936e-88,"Sig","Cd209a"
"Napsa",7.35512896403001e-117,2.15548371257136,0.925,0.225,1.01133023255413e-112,"Sig","Napsa"
"Mafb",1.17828172930271e-109,-2.80003224845989,0.06,0.786,1.62013737779123e-105,"Sig","Mafb"
"Ccl12",1.65281580888166e-29,-2.82335371466255,0.089,0.383,2.27262173721229e-25,"Sig","Ccl12"
"Cxcl13",1.1604740325979e-13,-2.84762717845061,0.015,0.142,1.59565179482211e-09,"Sig","Cxcl13"
"Ms4a7",8.60584651696036e-115,-2.86606474961445,0.108,0.836,1.18330389608205e-110,"Sig","Ms4a7"
"Selenop",1.22066613345748e-120,-2.89357090113616,0.72,0.968,1.67841593350404e-116,"Sig","Selenop"
"Pf4",7.68044605866554e-98,-3.94733436227756,0.118,0.764,1.05606133306651e-93,"Sig","Pf4"
"C1qb",2.87883924443113e-146,-3.97890222531021,0.583,0.995,3.9584039610928e-142,"Sig","C1qb"
"C1qa",7.3885676769553e-152,-4.37035717555834,0.365,0.998,1.01592805558135e-147,"Sig","C1qa"
"C1qc",4.13319073612987e-157,-4.3765360574082,0.195,0.989,5.68313726217857e-153,"Sig","C1qc"
"Apoe",1.32954320130889e-133,-4.77736563951126,0.496,0.984,1.82812190179973e-129,"Sig","Apoe"
